11/22/2015 15:45:00
type.info,,,
Arachni,,,
type.vulnerabilities,,,
Code injection (php://input wrapper),Code injection (php://input wrapper),94,
File Inclusion,File Inclusion,98,
Remote File Inclusion,Remote File Inclusion,94,
Session fixation,Session fixation,384,
Source code disclosure,Source code disclosure,540,
Blind SQL Injection (differential analysis),Blind SQL Injection (differential analysis),89,
Cross-Site Scripting in event tag of HTML element,Cross-Site Scripting in event tag of HTML element,79,
Cross-Site Scripting in HTML 'script' tag,Cross-Site Scripting in HTML 'script' tag,79,
Cross-Site Scripting in HTML \'script\' tag,Cross-Site Scripting in HTML \'script\' tag,79,
Cross-Site Scripting (XSS) in HTML tag,Cross-Site Scripting (XSS) in HTML tag,79,
A backdoor file exists on the server,A backdoor file exists on the server,200,
Backup file,Backup file,530,
Common directory,Common directory,538,
Common sensitive file,Common sensitive file,200,
Directory listing,Directory listing,548,
Misconfiguration in LIMIT directive of .htaccess file,Misconfiguration in LIMIT directive of .htaccess file,650,
Publicly writable directory,Publicly writable directory,650,
Interesting response,Interesting response,204,
Interesting server response.,Interesting server response.,204,
Exposed localstart.asp page,Exposed localstart.asp page,200,
Access restriction bypass via X-Forwarded-For,Access restriction bypass via X-Forwarded-For,285,
HTTP TRACE,HTTP TRACE,693,
Allowed HTTP methods,Allowed HTTP methods,16,
CAPTCHA protected form,CAPTCHA protected form,311,
Credit card number disclosure,Credit card number disclosure,200,
CVS/SVN user disclosure,CVS/SVN user disclosure,200,
E-mail address disclosure,E-mail address disclosure,200,
Form-based File Upload,Form-based File Upload,200,
HTML object,HTML object,200,
HttpOnly cookie,HttpOnly cookie,200,
Insecure cookie,Insecure cookie,200,
Mixed Resource,Mixed Resource,16,
Password field with auto-complete,Password field with auto-complete,525,
Private IP address disclosure,Private IP address disclosure,200,
Disclosed US Social Security Number (SSN),Disclosed US Social Security Number (SSN),200,
Unencrypted password form,Unencrypted password form,311,
Insecure cookies,Insecure cookies,200,
Private IP address finder,Private IP address finder,200,
Private IP address disclosure,Private IP address disclosure,200,
Unencrypted password forms,Unencrypted password forms,311,
NoSQL Injection,NoSQL Injection,89,
Blind NoSQL Injection (differential analysis),Blind NoSQL Injection (differential analysis),89,
DOM-based Cross-Site Scripting (XSS),DOM-based Cross-Site Scripting (XSS),79,
DOM-based Cross-Site Scripting (XSS) via input fields,DOM-based Cross-Site Scripting (XSS) via input fields,79,
DOM-based Cross-Site Scripting (XSS) in script context,DOM-based Cross-Site Scripting (XSS) in script context,79,
Cross-Site Scripting (XSS) in event tag of HTML element,Cross-Site Scripting (XSS) in event tag of HTML element,79,
Cross-Site Scripting (XSS) in script context,Cross-Site Scripting (XSS) in script context,79,
Backup directory,Backup directory,530,
Cookie set for parent domain,Cookie set for parent domain,200,
Missing 'Strict-Transport-Security' header,Missing 'Strict-Transport-Security' header,200,
Access restriction bypass via origin spoof,Access restriction bypass via origin spoof,16,
type.severities,,,
Informational,Informational,1,1
High,High,4,4
Medium,Medium,3,3
Low,Low,2,2
HIGH,HIGH,4,5
MEDIUM,MEDIUM,3,4
