type.info,,,16
IBM Rational AppScan,http://www-01.ibm.com/software/awdtools/appscan/,-,The AppScan importer accepts the XML output as input. Click File -> Export -> Scan Results as XML.,16
type.vulnerabilities,,,16
HiveMail index.php Cross-Site Scripting,HiveMailXSS,79
ArGoSoft Mail Server Pro Path Traversal,ArGoSoftMailServerProPathTraversal,22
Apache Tomcat Java Servlets Source Code Disclosure,attTomcatCatalinaJSPFileDisc,20
IBM WebSphere Unknown Host Header Source Code Disclosure,attIBMHostHeaderSourceDisclosure,20
gCards index.php Cross-Site Scripting,gCardsXSS,79
OneOrZero Helpdesk index.php SQL Injection,OneOrZeroHelpdeskSQLInjection,89
Oracle Error Log Found,OracleErrorLogFound,20
BusinessObjects XI Logon Cross-Site Scripting,BusinessObjectsXILogonXSS,79
Helm Multiple Cross-Site Scripting,HelmMultipleXSS,79
Parameter Value Overflow ,attParamOverflow,120
phpMyDesktop|arcade index.php Path Traversal,phpMyDesktoparcadePathTraversal,22
PostNuke PNphpBB2 Module index.php SQL Injection,PostNukePNphpBB2ModuleSQLInjection,89
WordPress Twitter Feed Plugin magpie_debug.php Cross-Site Scripting,WordPressTwitterFeedmagpiedebugphpXSS,79
GlassFish Administration Console Cross-Site Scripting,GlassFishAdministrationConsoleXSS,79
PHPizabi index.php Cross-Site Scripting,PHPizabiindexphpXSS,22
Shell Interpreter Scripts Arbitrary Commands Execution,attShellinScriptsDir,77
DRZES HMS Multiple SQL Injection,DRZESHMSSQLInjection,89
Post Revolution Multiple Remote File Inclusion,PostRevolutionMultipleRFI,94
SAP Internet Transaction Server wgate.dll Cross-Site Scripting,SAPInternetTransactionServerwgatedllXSS,79
Microsoft IIS idc File Extension Cross-Site Scripting,IISidcXSS,79
Snitz Forums 2000 forum.asp Cross-Site Scripting,SnitzForums2000XSS,79
Apache Tomcat Cookie Handling Session ID Disclosure,ApacheTomcatCookieHandlingSessionIDDisc,200
Automatic Login Rules,loginAutomaticRule,548
Daffodil CRM userlogin.jsp SQL Injection,DaffodilCRMSQLInjection,89
Mambo Output.php Remote File Inclusion,MamboOutputphpRFI,94
iPlanet Search Buffer Overflow,cwvNetScapeSearchOverflow,189
Oracle Application Server PL/SQL Packages Source Code Disclosure,attOwaUtilShowsource,20
Etomite index.php SQL Injection (version 0.6.1.2),EtomiteindexphpSQLInjection,89
Lotus Domino Image Tag Cross-Site Scripting,attLotusCSSimgSrc,79
ABAP Injection OS,TPHidden_OWB_ABAP_Injection_OS,77
ABAP AppDOS NoMaximumLimit,TPHidden_OWB_ABAP_AppDOS_NoMaximumLimit,119
Yoel''s test attack rule,YoelsTestAttack,119
ABAP Info Usage SYUNAME,TPHidden_OWB_ABAP_Info_Usage_SYUNAME,565
Authentication Login,TPHidden_OWB_Authentication_Login,89
Quick.Cart Cookie Path Traversal,QuickCartCookiePathTraversal,22
Oracle Single Sign-On Login Page Credential Disclosure,OracleSSOLoginPageCredentialDisclosure,489
ZeroBoard Multiple Remote File Inclusion,ZeroBoardprintcategoryphpRFI,94
ABAP Generic Transformation,TPHidden_OWB_ABAP_Generic_Transformation,16
Cross-Site Scripting in Path,attCSSinURL,307
LineWeb index.php Path Traversal,LineWebindexphpFileInclusion,22
ProfitCode PayProCart 3.0 Cross-Site Scripting,cwvProfitCodePayProCart30XSS,79
Wordpress Cross-Site Scripting,cwvWordpressXSS,79
YaBB Any File Download,attYaBBSecurityProblemAllowsDownloadingOfAnyFile,22
Malicious Trigger,TPHidden_OWB_Malicious_Trigger,16
Novell Open Enterprise Server QuickFinder Multiple Cross-Site Scripting,NovellOpenEnterpriseServerQuickFinderMultipleXSS,79
Google Urchin Cross-Site Scripting,GoogleUrchinXSS,79
phpCMS Information Disclosure,phpCMSInfoDisc,307
CuteNews "result" Parameter Cross-Site Scripting,CuteNewsresultParameterXSS,79
Malicious Dynamic Code,TPHidden_OWB_Malicious_DynamicCode,16
Floating-Point Value Denial of Service,PHPFunctionFloatingPointValueDoS,119
