type.info,,,
Skipfish,http://code.google.com/p/skipfish/,1.92b,The Skipfish importer accepts a zipped version of the Skipfish output folder as input. Specify the output folder with -o example-folder-name, then zip the folder with whatever utility you prefer.,
type.vulnerabilities,,,
User-controlled response prefix (BOM / plugin attacks),30801,16
HTTP response header splitting,40103,113
Incorrect or missing MIME type (higher risk),40301,230
Mixed content embedded on a page (higher risk),40202,16
Incorrect or missing charset (higher risk),40304,230
SSL certificate expired or not yet valid,30201,298
HTML form (not classified otherwise),10601,16
Attacker-supplied URLs in embedded content (lower risk),30402,610
New 404 signature seen,10205,16
No SSL certificate data found,30204,16
Resource fetch failed,20101,16
Server error triggered,10403,16
External URL redirector,10502,16
External content embedded on a page (lower risk),30501,16
Unknown form field (can't autocomplete),10505,16
Generic MIME used (low risk),10802,16
Numerical filename - consider enumerating,10901,16
File inclusion,50106,16
Directory listing,40401 Directory listing,548
IPS filtering enabled,20203,16
New 'Server' header value seen,10202,16
Directory traversal / file inclusion possible,40501,22
Interesting server message,40402,550
Query injection vector,50103,89
Redirection to attacker-supplied URLs,30401,601
PUT request accepted,50301,650
SSL certificate host name mismatch,30203,297
Parent behavior checks failed (no brute force),20202,16
Node should be a directory&comma; detection error?,20301,16
XSS vector via arbitrary URLs,40102,79
External content embedded on a page (higher risk),40201,16
HTTPS form submitting to a HTTP URL,30503,113
Incorrect caching directives (lower risk),30701,524
New HTTP cookie added,10201,16
Conflicting MIME / charset info (low risk),10804,16
HTTP credentials seen in URLs,30101,522
Response varies randomly&comma; skipping checks,20205,16
SQL query or similar syntax in parameters,50201,89
All external links,10501,16
HTTP authentication required,10402,16
Shell injection vector,50102,78
New 'X-*' header value seen,10204,16
Integer overflow vector,50105,190
XSS vector in document body,40101,79
Incorrect or missing MIME type (low risk),10801,16
File upload form,10603,16
Discovered files / directories,10405,548
Links to unknown protocols,10504,16
HTTP header injection vector,30901,113
Attacker-supplied URLs in embedded content (higher risk),40104,610
Interesting file,40401,425
Generic MIME type (higher risk),40302,16
Password form submits from or to non-HTTPS page,40701,311
Self-signed SSL certificate,30202,16
Directory listing restrictions bypassed,30301,548
Conflicting MIME / charset info (higher risk),40305,16
Directory listing enabled,10404,548
Mixed content embedded on a page (lower risk),30502,16
HTML form with no apparent XSRF protection,30601,352
Limits exceeded&comma; fetch suppressed,20102,16
Directory behavior checks failed (no brute force),20201,16
All e-mail addresses,10503,16
Weak SSL cipher negotiated,30205,327
Password entry form - consider brute-force,10602,16
User-supplied link rendered on a page,10701,16
Incorrect or missing charset (low risk),10803,16
OGNL-like parameter behavior,10902,16
SSL certificate issuer information,10101,16
IPS filtering disabled again,20204,16
Incorrect caching directives (higher risk),40601,524
Resource not directly accessible,10401,16
Server-side XML injection vector,50101,643
New 'Via' header value seen,10203,16
Format string vector,50104,134
JSON response with no apparent XSSI protection,30602,79
Incorrect or missing charset (low risk),10803,16
Numerical filename - consider enumerating,10901,16
New 404 signature seen,10205,16
New 'X-*' header value seen,10204,16
Incorrect or missing MIME type (low risk),10801,16
New 'Via' header value seen,10203,16
New HTTP cookie added,10201,16
New 'Server' header value seen,10202,16
Unknown form field (can't autocomplete),10505,16
type.severities,,,
4,4,5,5
3,3,4,4
2,2,3,3
1,1,2,2
0,0,1,1
