type.info,,,
Veracode,http://www.veracode.com/,-,You shouldn't be seeing this.,
type.vulnerabilities,,,
Improper Restriction of Recursive Entity References in DTDs ('XML Entity Expansion'),776,776
Free of Memory not on the Heap,590,590
Use of Externally-Controlled Input to Select Classes or Code ('Unsafe Reflection'),470,470
Signal Handler Use of a Non-reentrant Function,479,479
Insufficient Encapsulation,485,485
Race Condition in Switch,365,365
Reliance on Data/Memory Layout,188,188
Function Call With Incorrect Order of Arguments,683,683
CERT C++ Secure Coding Section 01 - Preprocessor (PRE),869,869
Missing Report of Error Condition,392,392
EJB Bad Practices: Use of Class Loader,578,578
Exposed IOCTL with Insufficient Access Control,782,782
Only Filtering Special Elements at an Absolute Position,797,797
Weakness Base Elements,677,677
Response Discrepancy Information Exposure,204,204
CERT Java Secure Coding Section 15 - Runtime Environment (ENV),860,860
Unexpected Sign Extension,194,194
Improper Handling of Exceptional Conditions,755,755
Improper Neutralization of Special Elements used in an LDAP Query ('LDAP Injection'),90,90
Incorrect Implementation of Authentication Algorithm,303,303
Direct Use of Unsafe JNI,111,111
Least Privilege Violation,272,272
Improper Control of Resource Identifiers ('Resource Injection'),99,99
Reliance on Untrusted Inputs in a Security Decision,807,807
Improper Synchronization,662,662
Improper Handling of Additional Special Element,167,167
Information Exposure Through Self-generated Error Message,210,210
CERT C++ Secure Coding Section 13 - Object Oriented Programming (OOP),881,881
Path Equivalence: 'fakedir/../realdir/filename',57,57
CERT C++ Secure Coding Section 07 - Characters and Strings (STR),875,875
Sensitive Data Under Web Root,219,219
Return Inside Finally Block,584,584
Improper Neutralization of Encoded URI Schemes in a Web Page,84,84
Cleartext Storage of Sensitive Information in Executable,318,318
Using Referer Field for Authentication,293,293
Improper Authentication,287,287
Improper Handling of Alternate Encoding,173,173
Public cloneable() Method Without Final ('Object Hijack'),491,491
Trust Boundary Violation,501,501
Symbolic Name not Mapping to Correct Object,386,386
SFP Cluster: UI,906,906
Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection'),78,78
SFP Cluster: Tainted Input,896,896
Free of Pointer not at Start of Buffer,761,761
Uncaught Exception in Servlet,600,600
Double-Checked Locking,609,609
Addition of Data Structure Sentinel,464,464
Missing Validation of OpenSSL Certificate,599,599
CERT Java Secure Coding Section 09 - Thread APIs (THI),854,854
Incorrect Ownership Assignment,708,708
State Issues,371,371
Transmission of Private Resources into a New Sphere ('Resource Leak'),402,402
Unused Variable,563,563
Execution After Redirect (EAR),698,698
Windows Path Link Problems,63,63
Incorrect Privilege Assignment,266,266
Struts: Form Field Without Validator,105,105
Use of Password Hash Instead of Password for Authentication,836,836
Improper Neutralization of Quoting Syntax,149,149
Path Traversal: '\dir\..\filename',30,30
Download of Code Without Integrity Check,494,494
Missing Support for Integrity Check,353,353
Exposure of Data Element to Wrong Session,488,488
Improper Verification of Cryptographic Signature,347,347
Path Equivalence: 'file...name' (Multiple Internal Dot),45,45
Path Traversal: 'C:dirname',39,39
Incorrect Authorization,863,863
Numeric Truncation Error,197,197
Uncaught Exception,248,248
Technology-Specific Time and State Issues,380,380
Authorization Bypass Through User-Controlled SQL Primary Key,566,566
Initialization and Cleanup Errors,452,452
Permission Issues,275,275
Improper Neutralization of Wildcards or Matching Symbols,155,155
Improper Initialization,665,665
Passing Mutable Objects to an Untrusted Method,374,374
Context Switching Race Condition,368,368
Incomplete Blacklist to Cross-Site Scripting,692,692
Call to Thread run() instead of start(),572,572
Assignment of a Fixed Address to a Pointer,587,587
UI Discrepancy for Security Feature,446,446
Use of sizeof() on a Pointer Type,467,467
Improper Preservation of Permissions,281,281
Use of Path Manipulation Function without Maximum-sized Buffer,785,785
Trusting HTTP Permission Methods on the Server Side,650,650
Function Call With Incorrect Argument Type,686,686
Use of Dynamic Class Loading,545,545
Improper Handling of File Names that Identify Virtual Resources,66,66
OWASP Top Ten 2013 Category A7 - Missing Function Level Access Control,935,935
CERT C Secure Coding Section 09 - Input Output (FIO),743,743
Authentication Bypass: OpenSSL CTX Object Modified after SSL Objects are Created,593,593
Improper Neutralization of HTTP Headers for Scripting Syntax,644,644
Reliance on Undefined&comma; Unspecified&comma; or Implementation-Defined Behavior,758,758
Improper Following of a Certificate's Chain of Trust,296,296
Improper Neutralization of Multiple Leading Special Elements,161,161
Lack of Administrator Control over Security,671,671
CERT Java Secure Coding Section 12 - Input Output (FIO),857,857
Path Equivalence: '/multiple//internal/slash',51,51
Password in Configuration File,260,260
Improper Neutralization of Alternate XSS Syntax,87,87
CWE Cross-section,884,884
Environment,2,2
Allocation of Resources Without Limits or Throttling,770,770
Multiple Locks of a Critical Resource,764,764
Improper Privilege Management,269,269
Logging of Excessive Data,779,779
Weaknesses in Software Written in C++,659,659
PHP External Variable Modification,473,473
Placement of User into Incorrect Group,842,842
Improper Handling of Unicode Encoding,176,176
Collapse of Data into Unsafe Value,182,182
CERT C++ Secure Coding Section 10 - Environment (ENV),878,878
Incorrect Behavior Order: Authorization Before Parsing and Canonicalization,551,551
CERT C Secure Coding Section 03 - Expressions (EXP),737,737
Improper Handling of Apple HFS+ Alternate Data Stream Path,72,72
Error Conditions&comma; Return Values&comma; Status Codes,389,389
Use of NullPointerException Catch to Detect NULL Pointer Dereference,395,395
Security Features,254,254
Password Aging with Long Expiration,263,263
J2EE Misconfiguration: Data Transmission Without Encryption,5,5
Access of Uninitialized Pointer,824,824
Improper Neutralization of Null Byte or NUL Character,158,158
Exposure of Resource to Wrong Sphere,668,668
Exposure of CVS Repository to an Unauthorized Control Sphere,527,527
Concurrent Execution using Shared Resource with Improper Synchronization ('Race Condition'),362,362
Path Equivalence: 'file name' (Internal Whitespace),48,48
OWASP Top Ten 2004 Category A10 - Insecure Configuration Management,731,731
Improper Neutralization of Special Elements used in an Expression Language Statement ('Expression Language Injection'),917,917
Storing Passwords in a Recoverable Format,257,257
Improper Handling of Undefined Parameters,236,236
Null Byte Interaction Error (Poison Null Byte),626,626
EJB Bad Practices: Use of AWT Swing,575,575
Inclusion of Web Functionality from an Untrusted Source,830,830
Insecure Preserved Inherited Permissions,278,278
Improper Neutralization of Record Delimiters,143,143
Not Using a Random IV with CBC Mode,329,329
CERT Java Secure Coding Section 00 - Input Validation and Data Sanitization (IDS),845,845
Numeric Range Comparison Without Minimum Check,839,839
Path Traversal: '....' (Multiple Dot),33,33
Use of Inherently Dangerous Function,242,242
Improper Handling of Windows ::DATA Alternate Data Stream,69,69
Unquoted Search Path or Element,428,428
2009 Top 25 - Risky Resource Management,752,752
OWASP Top Ten 2013 Category A10 - Unvalidated Redirects and Forwards,938,938
Representation Errors,137,137
Key Management Errors,320,320
Non-exit on Failed Initialization,455,455
Path Traversal: 'dir/../../filename',27,27
Improper Neutralization of Internal Special Elements,164,164
OWASP Top Ten 2007 Category A8 - Insecure Cryptographic Storage,719,719
Uncontrolled Recursion,674,674
ASP.NET Misconfiguration: Not Using Input Validation Framework,554,554
Path Equivalence: 'filedir\\' (Trailing Backslash),54,54
Insecure Temporary File,377,377
Improper Authentication of Endpoint in a Communication Channel,923,923
The UI Performs the Wrong Action,449,449
OWASP Top Ten 2010 Category A9 - Insufficient Transport Layer Protection,818,818
Expected Behavior Violation,440,440
Weaknesses that Affect Files or Directories,632,632
Access to Critical Private Variable via Public Method,767,767
ASP.NET Misconfiguration: Missing Custom Error Page,12,12
NULL Pointer Dereference,476,476
Predictable from Observable State,341,341
PRNG Seed Error,335,335
Incorrect Behavior Order: Early Validation,179,179
OWASP Top Ten 2004 Category A4 - Cross-Site Scripting (XSS) Flaws,725,725
Unrestricted Upload of File with Dangerous Type,434,434
Information Exposure Through Directory Listing,548,548
Data Structure Issues,461,461
Insufficient Compartmentalization,653,653
Information Exposure Through Server Log Files,533,533
Use of Non-Canonical URL Paths for Authorization Decisions,647,647
Product UI does not Warn User of Unsafe Actions,356,356
CERT Java Secure Coding Section 06 - Exceptional Behavior (ERR),851,851
Improper Null Termination,170,170
2011 Top 25 - Porous Defenses,866,866
Use of umask() with chmod-style Argument,560,560
CERT C Secure Coding Section 12 - Error Handling (ERR),746,746
Expression Issues,569,569
UNIX Path Link Problems,60,60
Reusing a Nonce, Key Pair in Encryption,323,323
Incomplete Model of Endpoint Features,437,437
Improper Restriction of Names for Files and Other Resources,641,641
Reliance on Reverse DNS Resolution for a Security-Critical Action,350,350
Reliance on Security Through Obscurity,656,656
Information Exposure Through Servlet Runtime Error Message,536,536
Information Exposure Through Cleanup Log Files,542,542
Improper Release of Memory Before Removing Last Reference ('Memory Leak'),401,401
Improper Update of Reference Count,911,911
Exposed Dangerous Method or Function,749,749
Public Static Field Not Marked Final,500,500
Sensitive Cookie in HTTPS Session Without 'Secure' Attribute,614,614
DEPRECATED: Incorrect Initialization,458,458
Replicating Malicious Code (Virus or Worm),509,509
Improper Neutralization of Macro Symbols,152,152
J2EE Misconfiguration: Entity Bean Declared Remote,8,8
CERT Java Secure Coding Section 03 - Numeric Types and Operations (NUM),848,848
OWASP Top Ten 2007 Category A2 - Injection Flaws,713,713
Improper Enforcement of Message or Data Structure,707,707
Use After Free,416,416
CERT C Secure Coding Section 06 - Arrays (ARR),740,740
Improper Restriction of Content Provider Export to Other Applications,926,926
Unverified Password Change,620,620
Out-of-bounds Read,125,125
Weaknesses Used by NVD,635,635
Weaknesses in OWASP Top Ten (2007),629,629
Covert Storage Channel,515,515
External Control of System or Configuration Setting,15,15
Deadlock,833,833
Use of Cryptographically Weak PRNG,338,338
DEPRECATED (Duplicate): Failure to provide confidentiality for stored data,218,218
OWASP Top Ten 2004 Category A7 - Improper Error Handling,728,728
Path Equivalence: 'filename.' (Trailing Dot),42,42
Often Misused: String Management,251,251
J2EE Bad Practices: Direct Management of Connections,245,245
Struts: Validator Without Form Field,110,110
Incorrect Calculation of Buffer Size,131,131
Buffer Access Using Size of Source Buffer,806,806
Improper Neutralization of Expression/Command Delimiters,146,146
Use of Invariant Value in Dynamically Changing Context,344,344
Absolute Path Traversal,36,36
Privacy Violation,359,359
SFP Cluster: Predictability,905,905
Failure to Handle Incomplete Element,239,239
Struts: Non-private Field in ActionForm Class,608,608
Unprotected Windows Messaging Channel ('Shatter'),422,422
Concurrency Issues,557,557
Authentication Bypass by Assumed-Immutable Data,302,302
OWASP Top Ten 2013 Category A4 - Insecure Direct Object References,932,932
Improper Control of Filename for Include/Require Statement in PHP Program ('PHP Remote File Inclusion'),98,98
OWASP Top Ten 2010 Category A3 - Broken Authentication and Session Management,812,812
Cleartext Storage of Sensitive Information in GUI,317,317
Improper Control of Document Type Definition,827,827
Weak Password Requirements,521,521
Pathname Traversal and Equivalence Errors,21,21
Improper Handling of Missing Values,230,230
Obscured Security-relevant Information by Alternate Name,224,224
Improper Restriction of Operations within the Bounds of a Memory Buffer,119,119
Weaknesses Addressed by the CERT C Secure Coding Standard,734,734
DEPRECATED (Duplicate): HTTP response splitting,443,443
Missing Encryption of Sensitive Data,311,311
Incorrect Synchronization,821,821
Information Exposure of Internal State Through Behavioral Inconsistency,206,206
Insufficient Resource Pool,410,410
Improper Restriction of Power Consumption,920,920
DEPRECATED: Improper Sanitization of Custom Special Characters,92,92
Apple '.DS_Store',71,71
Improper Handling of Parameters,233,233
Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Response Splitting'),113,113
Unprotected Primary Channel,419,419
OWASP Top Ten 2013 Category A1 - Injection,929,929
Weaknesses in OWASP Top Ten (2010),809,809
Reliance on Cookies without Validation and Integrity Checking in a Security Decision,784,784
Wrap-around Error,128,128
Unsafe ActiveX Control Marked Safe For Scripting,623,623
Insufficient Entropy in PRNG,332,332
Inadequate Encryption Strength,326,326
Inadvertently Introduced Weakness,518,518
Source Code,18,18
Weaknesses Introduced During Design,701,701
Unsigned to Signed Conversion Error,196,196
Insufficient Control Flow Management,691,691
Unexpected Status Code or Return Value,394,394
Improper Resource Shutdown or Release,404,404
Improper Neutralization of Invalid Characters in Identifiers in Web Pages,86,86
Byte/Object Code,503,503
Not Using Complete Mediation,638,638
Improper Control of Interaction Frequency,799,799
Critical Public Variable Without Final Modifier,493,493
Exposure of Backup File to an Unauthorized Control Sphere,530,530
Client-Side Enforcement of Server-Side Security,602,602
OWASP Top Ten 2007 Category A5 - Cross Site Request Forgery (CSRF),716,716
Direct Request ('Forced Browsing'),425,425
Authentication Bypass by Primary Weakness,305,305
OWASP Top Ten 2010 Category A6 - Security Misconfiguration,815,815
Information Exposure Through Caching,524,524
Path Traversal: '../filedir',24,24
Improper Control of Dynamically-Identified Variables,914,914
CERT C++ Secure Coding Section 49 - Miscellaneous (MSC),883,883
Improper Fulfillment of API Contract ('API Abuse'),227,227
Authentication Bypass Issues,592,592
Explicit Call to Finalize(),586,586
Missing Handler,431,431
Weaknesses in the 2010 CWE/SANS Top 25 Most Dangerous Programming Errors,800,800
Improper Neutralization of Delimiters,140,140
Improper Filtering of Special Elements,790,790
Uncontrolled Format String,134,134
Improper Certificate Validation,295,295
Function Call With Incorrect Number of Arguments,685,685
Improper Cross-boundary Removal of Sensitive Data,212,212
Information Exposure Through Persistent Cookies,539,539
Use of Uninitialized Resource,908,908
OWASP Top Ten 2004 Category A1 - Unvalidated Input,722,722
SFP Cluster: Authentication,898,898
Struts: Unused Validation Form,107,107
Reachable Assertion,617,617
Assigning instead of Comparing,481,481
Comparison of Object References Instead of Object Contents,595,595
Improper Locking,667,667
Incomplete Blacklist,184,184
Use of Multiple Resources with Duplicate Identifier,694,694
Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection'),74,74
SFP Cluster: Channel,902,902
Struts Validation Problems,101,101
Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),89,89
2010 Top 25 - Porous Defenses,803,803
Only Filtering One Instance of a Special Element,793,793
Information Exposure,200,200
Public Data Assigned to Private Array-Typed Field,496,496
Coding Standards Violation,710,710
CERT C++ Secure Coding Section 03 - Expressions (EXP),871,871
Information Exposure Through Debug Information,215,215
2011 Top 25 - Risky Resource Management,865,865
Information Exposure Through an Error Message,209,209
Information Management Errors,199,199
EJB Bad Practices: Use of Synchronization Primitives,574,574
Improper Resource Locking,413,413
Improper Neutralization of Directives in Dynamically Evaluated Code ('Eval Injection'),95,95
Heap-based Buffer Overflow,122,122
Use of Single-factor Authentication,308,308
Insecure Inherited Permissions,277,277
Out-of-bounds Write,787,787
Path Equivalence: '\multiple\\internal\\backslash',53,53
Temporary File Issues,376,376
Integer Overflow or Wraparound,190,190
Windows Virtual File Problems,68,68
SFP Cluster: Unused entities,886,886
clone() Method Without super.clone(),580,580
Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),80,80
Call to Non-ubiquitous API,589,589
Unverified Ownership,283,283
Undefined Behavior for Input to API,475,475
Improper Validation of Certificate Expiration,298,298
Improper Handling of Case Sensitivity,178,178
Spyware,512,512
Embedded Malicious Code,506,506
Function Call With Incorrect Variable or Reference as Argument,688,688
Algorithmic Complexity,407,407
Declaration of Throws for Generic Exception,397,397
Critical Variable Declared Public,766,766
Multiple Binds to the Same Port,605,605
Improper Restriction of XML External Entity Reference ('XXE'),611,611
Cleartext Storage in the Registry,314,314
Incorrect Type Conversion or Cast,704,704
External Influence of Sphere Definition,673,673
J2EE Bad Practices: Use of System.exit(),382,382
finalize() Method Without super.finalize(),568,568
Information Loss or Omission,221,221
SFP Cluster: Resource Management,892,892
Missing Release of Resource after Effective Lifetime,772,772
Improper Encoding or Escaping of Output,116,116
Deletion of Data Structure Sentinel,463,463
Improper Resolution of Path Equivalence,41,41
Path Traversal: '.../...//',35,35
Serializable Class Containing Sensitive Data,499,499
Signal Handler Race Condition,364,364
Improperly Implemented Security Check for Standard,358,358
Incorrect Calculation,682,682
Return of Stack Variable Address,562,562
Privilege Dropping / Lowering Errors,271,271
EJB Bad Practices: Use of Sockets,577,577
Information Exposure Through Query Strings in GET Request,598,598
Use of Uninitialized Variable,457,457
Improper Address Validation in IOCTL with METHOD_NEITHER I/O Control Code,781,781
Mobile Code Issues,490,490
Omitted Break Statement in Switch,484,484
Creation of Temporary File in Directory with Incorrect Permissions,379,379
CERT C++ Secure Coding Section 06 - Arrays and the STL (ARR),874,874
Off-by-one Error,193,193
Insufficient Comparison,697,697
finalize() Method Declared Public,583,583
CERT C Secure Coding Section 50 - POSIX (POS),748,748
File Descriptor Exhaustion,769,769
Improper Neutralization of Script in Attributes in a Web Page,83,83
Incorrect User Management,286,286
Improper Neutralization of Comment Delimiters,151,151
Only Filtering Special Elements Relative to a Marker,796,796
Weaknesses in Software Written in PHP,661,661
CERT Java Secure Coding Section 02 - Expressions (EXP),847,847
Insufficient Psychological Acceptability,655,655
ASP.NET Misconfiguration: Use of Identity Impersonation,556,556
Information Exposure Through Discrepancy,203,203
SFP Cluster: Information Leak,895,895
Struts: Form Bean Does Not Extend Validation Class,104,104
Improper Check for Unusual or Exceptional Conditions,754,754
Use of a One-Way Hash with a Predictable Salt,760,760
Reliance on Obfuscation or Encryption of Security-Relevant Inputs without Integrity Checking,649,649
Improper Handling of Missing Special Element,166,166
Encoding Error,172,172
Weaknesses Addressed by the CERT C++ Secure Coding Standard,868,868
Use of Potentially Dangerous Function,676,676
Missing Check for Certificate Revocation after Initial Check,370,370
UNIX Hard Link,62,62
Path Equivalence: 'filedir*' (Wildcard),56,56
CERT C++ Secure Coding Section 12 - Exceptions and Error Handling (ERR),880,880
Covert Timing Channel,385,385
Privilege / Sandbox Issues,265,265
SFP Cluster: Exception Management,889,889
Missing Release of File Descriptor or Handle after Effective Lifetime,775,775
J2EE Misconfiguration: Missing Custom Error Page,7,7
DEPRECATED (Duplicate): Trusting Self-reported DNS Name,292,292
Missing Default Case in Switch Statement,478,478
CERT Java Secure Coding Section 08 - Locking (LCK),853,853
Partial Comparison,187,187
Unchecked Error Condition,391,391
Execution with Unnecessary Privileges,250,250
Improper Neutralization of Special Elements used in a Command ('Command Injection'),77,77
Use of Hard-coded Password,259,259
Missing Synchronization,820,820
Improper Handling of Insufficient Privileges,274,274
Privilege Chaining,268,268
String Errors,133,133
Improper Neutralization of Data within XPath Expressions ('XPath Injection'),643,643
Inclusion of Functionality from Untrusted Control Sphere,829,829
File and Directory Information Exposure,538,538
Incorrect Behavior Order: Validate Before Filter,181,181
Reliance on Package-level Scope,487,487
Improper Handling of Undefined Values,232,232
Improper Link Resolution Before File Access ('Link Following'),59,59
CERT C++ Secure Coding Section 09 - Input Output (FIO),877,877
CERT C Secure Coding Section 08 - Memory Management (MEM),742,742
Weaknesses in OWASP Top Ten (2013),928,928
User Interface Errors,445,445
Location,1,1
Authentication Bypass by Alternate Name,289,289
Code,17,17
Loop with Unreachable Exit Condition ('Infinite Loop'),835,835
Improper Neutralization of Variable Name Delimiters,154,154
Improper Neutralization of Input Leaders,148,148
Cross-Site Request Forgery (CSRF),352,352
Path Equivalence: '//multiple/leading/slash',50,50
Path Equivalence: 'file.name' (Internal Dot),44,44
