type.info,,,
WebInspect,https://www.fortify.com/products/web_inspect.html,9.00,The WebInspect importer requires the Full XML report format. To export in this format after you have conducted a scan, click Export, then Details, then Full.,
type.vulnerabilities,,,
nlog-smb.cgi Issue,nlog-smb.cgi Issue,287
Lotus Domino Arbitrary File Source Disclosure (/.nsf//../),Lotus Domino Arbitrary File Source Disclosure (/.nsf//../),284
PHPGlossar index.php Cross-Site Scripting,PHPGlossar index.php Cross-Site Scripting,79
Parameter Manipulation (Backslash FQP Injection Boot.ini),Parameter Manipulation (Backslash FQP Injection Boot.ini),200
Directory (fpdb),Directory (fpdb),548
Account Information Disclosure (pass.dat),Account Information Disclosure (pass.dat),200
TinyBB Directory Traversal Vulnerability,TinyBB Directory Traversal Vulnerability,22
Full Path Disclosure in  PHP-Nuke Video Gallery Module for PHP-Nuke,Full Path Disclosure in  PHP-Nuke Video Gallery Module for PHP-Nuke,200
Directory (mysql),Directory (mysql),548
SOAP: Parameter Manipulation Directory Traversal (/../../../../../../../../../../../boot.ini%00.html),SOAP: Parameter Manipulation Directory Traversal (/../../../../../../../../../../../boot.ini%00.html),22
Website Directory index.php Cross-Site Scripting,Website Directory index.php Cross-Site Scripting,79
IIS repost.asp Arbitrary File Upload,IIS repost.asp Arbitrary File Upload,434
Directory (secure),Directory (secure),548
phpBB 2.x (Activity MOD Plus) Remote File Include Vulnerability,phpBB 2.x (Activity MOD Plus) Remote File Include Vulnerability,98
Tomcat Snoop.jsp Example Cross-Site Scripting,Tomcat Snoop.jsp Example Cross-Site Scripting,79
Photopost PHP Pro Photo Gallery SQL Injection,Photopost PHP Pro Photo Gallery SQL Injection,89
Dokeos myAgenda.php Cross-Site Scripting,Dokeos myAgenda.php Cross-Site Scripting,79
cPanel ''addhandle.html'' Cross-Site Scripting,cPanel ''addhandle.html'' Cross-Site Scripting,79
Include File (functions.inc),Include File (functions.inc),200
Adobe Content Server SQL Injection,Adobe Content Server SQL Injection,89
oaBoard Path Disclosure,oaBoard Path Disclosure,200
Auktion Arbitrary Command Execution,Auktion Arbitrary Command Execution,78
Directory (xml),Directory (xml),548
Stronghold Server swish Full Path Disclosure,Stronghold Server swish Full Path Disclosure,200
Lotus Domino Database (stsrc.nsf),Lotus Domino Database (stsrc.nsf),284
MPM GuestBook Pro File Disclosure,MPM GuestBook Pro File Disclosure,200
PHPNuke mailattach.php Arbitrary Command Execution,PHPNuke mailattach.php Arbitrary Command Execution,78
BolinOS gBPassword.php Cross-Site Scripting,BolinOS gBPassword.php Cross-Site Scripting,79
Lotus Domino Database (mtstore.nsf),Lotus Domino Database (mtstore.nsf),284
