9/15/2014 1:12:00
type.info,
CWE differences between Version 2.7 and Version 2.8,
type.vulnerabilities,
885,SFP Primary Cluster: Risky Values
886,SFP Primary Cluster: Unused entities
887,SFP Primary Cluster: API
889,SFP Primary Cluster: Exception Management
890,SFP Primary Cluster: Memory Access
891,SFP Primary Cluster: Memory Management
892,SFP Primary Cluster: Resource Management
893,SFP Primary Cluster: Path Resolution
894,SFP Primary Cluster: Synchronization
895,SFP Primary Cluster: Information Leak
896,SFP Primary Cluster: Tainted Input
897,SFP Primary Cluster: Entry Points
898,SFP Primary Cluster: Authentication
899,SFP Primary Cluster: Access Control
901,SFP Primary Cluster: Privilege
902,SFP Primary Cluster: Channel
903,SFP Primary Cluster: Cryptography
904,SFP Primary Cluster: Malware
905,SFP Primary Cluster: Predictability
906,SFP Primary Cluster: UI
907,SFP Primary Cluster: Other
944,SFP Secondary Cluster: Access Management
945,SFP Secondary Cluster: Insecure Resource Access
946,SFP Secondary Cluster: Insecure Resource Permissions
947,SFP Secondary Cluster: Authentication Bypass
948,SFP Secondary Cluster: Digital Certificate
949,SFP Secondary Cluster: Faulty Endpoint Authentication
950,SFP Secondary Cluster: Hardcoded Sensitive Data
951,SFP Secondary Cluster: Insecure Authentication Policy
952,SFP Secondary Cluster: Missing Authentication
953,SFP Secondary Cluster: Missing Endpoint Authentication
954,SFP Secondary Cluster: Multiple Binds to the Same Port
955,SFP Secondary Cluster: Unrestricted Authentication
956,SFP Secondary Cluster: Channel Attack
957,SFP Secondary Cluster: Protocol Error
958,SFP Secondary Cluster: Broken Cryptography
959,SFP Secondary Cluster: Weak Cryptography
960,SFP Secondary Cluster: Ambiguous Exception Type
961,SFP Secondary Cluster: Incorrect Exception Behavior
962,SFP Secondary Cluster: Unchecked Status Condition
963,SFP Secondary Cluster: Exposed Data
964,SFP Secondary Cluster: Exposure Temporary File
965,SFP Secondary Cluster: Insecure Session Management
966,SFP Secondary Cluster: Other Exposures
967,SFP Secondary Cluster: State Disclosure
968,SFP Secondary Cluster: Covert Channel
969,SFP Secondary Cluster: Faulty Memory Release
970,SFP Secondary Cluster: Faulty Buffer Access
971,SFP Secondary Cluster: Faulty Pointer Use
972,SFP Secondary Cluster: Faulty String Expansion
973,SFP Secondary Cluster: Improper NULL Termination
974,SFP Secondary Cluster: Incorrect Buffer Length Computation
975,SFP Secondary Cluster: Architecture
976,SFP Secondary Cluster: Compiler
977,SFP Secondary Cluster: Design
978,SFP Secondary Cluster: Implementation
979,SFP Secondary Cluster: Failed Chroot Jail
980,SFP Secondary Cluster: Link in Resource Name Resolution
981,SFP Secondary Cluster: Path Traversal
982,SFP Secondary Cluster: Failure to Release Resource
983,SFP Secondary Cluster: Faulty Resource Use
984,SFP Secondary Cluster: Life Cycle
985,SFP Secondary Cluster: Unrestricted Consumption
986,SFP Secondary Cluster: Missing Lock
987,SFP Secondary Cluster: Multiple Locks/Unlocks
988,SFP Secondary Cluster: Race Condition Window
989,SFP Secondary Cluster: Unrestricted Lock
990,SFP Secondary Cluster: Tainted Input to Command
991,SFP Secondary Cluster: Tainted Input to Environment
992,SFP Secondary Cluster: Faulty Input Transformation
993,SFP Secondary Cluster: Incorrect Input Handling
994,SFP Secondary Cluster: Tainted Input to Variable
995,SFP Secondary Cluster: Feature
996,SFP Secondary Cluster: Security
997,SFP Secondary Cluster: Information Loss
998,SFP Secondary Cluster: Glitch in Computation
999,Weaknesses without Software Fault Patterns
1001,SFP Secondary Cluster: Use of an Improper API
1002,SFP Secondary Cluster: Unexpected Entry Points
