11/22/2015 17:14:00
type.info,,,
Acunetix WVS
type.vulnerabilities,,,
Slow HTTP Denial of Service Attack,Slow HTTP Denial of Service Attack,400
Possible sensitive directories,Possible sensitive directories,538
Password type input with auto-complete enabled,Password type input with auto-complete enabled,524
WordPress plugin All in One SEO Pack privilege escalation vulnerabilities,WordPress plugin All in One SEO Pack privilege escalation vulnerabilities,269
Amazon S3 public bucket,Amazon S3 public bucket,264
Apache 2.0.43 Win32 file reading vulnerability,Apache 2.0.43 Win32 file reading vulnerability,20
Apache Roller OGNL injection,Apache Roller OGNL injection,20
Apache solr service exposed,Apache solr service exposed,16
Apache Tomcat version older than 6.0.35,Apache Tomcat version older than 6.0.35,264
Apache Tomcat version older than 6.0.36,Apache Tomcat version older than 6.0.36,20
Apache Tomcat version older than 7.0.21,Apache Tomcat version older than 7.0.21,264
Apache Tomcat version older than 7.0.23,Apache Tomcat version older than 7.0.23,189
Apache Tomcat version older than 7.0.28,Apache Tomcat version older than 7.0.28,20
Apache Tomcat version older than 7.0.30,Apache Tomcat version older than 7.0.30,20
Apache Tomcat version older than 7.0.32,Apache Tomcat version older than 7.0.32,264
Apache Tomcat examples directory vulnerabilities,Apache Tomcat examples directory vulnerabilities,264
XSS on Apache HTTP Server 413 error pages via malformed HTTP method,XSS on Apache HTTP Server 413 error pages via malformed HTTP method,79
File upload XSS (Java applet),File upload XSS (Java applet),79
Basic authentication over HTTP,Basic authentication over HTTP,16
Blind XSS,Blind XSS,80
BREACH attack,BREACH attack,310
Chrome Logger information disclosure,Chrome Logger information disclosure,16
CKEditor 4.0.1 cross-site scripting vulnerability,CKEditor 4.0.1 cross-site scripting vulnerability,79
Clickjacking: X-Frame-Options header missing,Clickjacking: X-Frame-Options header missing,693
Cross site scripting vulnerability in clipboard.swf,Cross site scripting vulnerability in clipboard.swf,79
CodeIgniter 2.1.3 xss_clean() filter bypass,CodeIgniter 2.1.3 xss_clean() filter bypass,80
Adobe ColdFusion directory traversal ,Adobe ColdFusion directory traversal ,22
Security update: Hotfix available for ColdFusion,Security update: Hotfix available for ColdFusion,255
Adobe ColdFusion 9 administrative login bypass,Adobe ColdFusion 9 administrative login bypass,287
Files listed in robots.txt but not linked,Files listed in robots.txt but not linked,200
Javascript eval() usage,Javascript eval() usage,200
