10/16/2014 09:00:00
type.info,,,
Clang,http://clang-analyzer.llvm.org/,checker-276,NOTE HERE ON FILE INPUT TYPE
type.vulnerabilities,,,
API:Argument with 'nonnull' attribute passed null,API:Argument with 'nonnull' attribute passed null,628
API:Sum of expressions causes overflow,API:Sum of expressions causes overflow,128
API Misuse (Apple):Improper use of 'dispatch_once',API Misuse (Apple):Improper use of 'dispatch_once',227
API Misuse (Apple):Improper use of SecKeychain API,API Misuse (Apple):Improper use of SecKeychain API,227
API Upgrade (Apple):Use -drain instead of -release,API Upgrade (Apple):Use -drain instead of -release,227
C String API:Anti-pattern in the argument,C String API:Anti-pattern in the argument,628
Coding conventions (Apple):Bad return type when passing CFErrorRef*,Coding conventions (Apple):Bad return type when passing CFErrorRef*,710
Coding conventions (Apple):Bad return type when passing NSError**,Coding conventions (Apple):Bad return type when passing NSError**,710
Coding conventions (Apple):CFErrorRef* null dereference,Coding conventions (Apple):CFErrorRef* null dereference,476
Coding conventions (Apple):NSError** null dereference,Coding conventions (Apple):NSError** null dereference,476
Core Foundation/Objective-C:CFArray API,Core Foundation/Objective-C:CFArray API,129
Core Foundation/Objective-C:Missing call to superclass,Core Foundation/Objective-C:Missing call to superclass,573
Cplusplus:Call pure virtual function during construction or Destruction,Cplusplus:Call pure virtual function during construction or Destruction,676
Cplusplus:Call virtual function during construction or Destruction,Cplusplus:Call virtual function during construction or Destruction,676
Dead code:Unreachable code,Dead code:Unreachable code,561
Dead store:Dead assignment,Dead store:Dead assignment,563
Dead store:Dead increment,Dead store:Dead increment,563
Dead store:Dead initialization,Dead store:Dead initialization,563
LLVM Conventions:AST node allocates heap memory,LLVM Conventions:AST node allocates heap memory,119
LLVM Conventions:StringRef should not be bound to temporary std::string that it outlives,LLVM Conventions:StringRef should not be bound to temporary std::string that it outlives,119
Lock checker:Destroy invalid lock,Lock checker:Destroy invalid lock,667
Lock checker:Double locking,Lock checker:Double locking,764
Lock checker:Double unlocking,Lock checker:Double unlocking,765
Lock checker:Init invalid lock,Lock checker:Init invalid lock,667
Lock checker:Lock order reversal,Lock checker:Lock order reversal,667
Lock checker:Use destroyed lock,Lock checker:Use destroyed lock,667
Logic error:Array subscript is undefined,Logic error:Array subscript is undefined,457
Logic error:Assigned value is garbage or undefined,Logic error:Assigned value is garbage or undefined,457
Logic error:Assignment of a non-Boolean value,Logic error:Assignment of a non-Boolean value,704
Logic error:Branch condition evaluates to a garbage value,Logic error:Branch condition evaluates to a garbage value,658
Logic error:Called C++ object pointer is null,Logic error:Called C++ object pointer is null,465
