2/18/2015 3:50:00,,,,
type.info,,,,
CodeProfiler,https://www.virtualforge.com/,3.8,Do a manual scan,
type.vulnerabilities,,
1 Cross-Site Scripting,Cross-Site Scripting,79
2 Denial of Service (DOS) in DO Loop,Denial of Service (DOS) in DO Loop,400
4 Hard-coded User Name (sy-uname),Hard-coded User Name (sy-uname),285
5 All Occurrences of sy-uname,All Occurrences of sy-uname,0
8 Dangerous ABAP Commands,Dangerous ABAP Commands,242
9 Direct Database Modifications,Direct Database Modifications,389
14 Missing AUTHORITY-CHECK in RFC-Enabled Functions,Missing AUTHORITY-CHECK in RFC-Enabled Functions,862
15 Missing AUTHORITY-CHECK before CALL TRANSACTION,Missing AUTHORITY-CHECK before CALL TRANSACTION,862
18 OSQL Injection (Write Access),OSQL Injection (Write Access),89
20 Usage of Regular Expression,Usage of Regular Expression,0
21 Forceful Querying (Write Access),Forceful Querying (Write Access),639
22 Generic ABAP Module Calls,Generic ABAP Module Calls,99
24 Directory Traversal (Write Access),Directory Traversal (Write Access),22
25 Suspicious Filter Usage (replace),Suspicious Filter Usage (replace),182
26 Exposed System Calls,Exposed System Calls,242
28 Generic Variable Readers,Generic Variable Readers,95
29 Disclosure of critical DB Content (Customized),Disclosure of critical DB Content (Customized),200
30 Method Calls in Inactive Assertions,Method Calls in Inactive Assertions,398
31 HTTP Response Tampering,HTTP Response Tampering,442
32 Alias Authorization in SUBMIT report,Alias Authorization in SUBMIT report,863
34 ABAP Command Injection (report),ABAP Command Injection (report),96
35 ABAP Command Injection (program),ABAP Command Injection (program),95
36 Exposed Kernel Calls,Exposed Kernel Calls,242
39 Unmanaged SQL,Unmanaged SQL,0
41 OS Command Execution (Parameter),OS Command Execution (Parameter),78
43 Phishing,Phishing,442
44 OS Command Injection (OPEN DATASET; Filter),OS Command Injection (OPEN DATASET; Filter),
45 Hard-coded SAP System ID Checks (sy-sysid),Hard-coded SAP System ID Checks (sy-sysid),398
46 Cross-Client Access to Business Data,Cross-Client Access to Business Data,265
48 Generic RFC Destinations,Generic RFC Destinations,95
49 File Upload (SAP GUI),File Upload (SAP GUI),0
50 File Download (SAP GUI),File Download (SAP GUI),0
52 OS Command Execution (Client OS),OS Command Execution (Client OS),78
53 Hard-coded SAP Client Checks (sy-mandt),Hard-coded SAP Client Checks (sy-mandt),398
56 Hard-coded System Date Checks (sy-datum),Hard-coded System Date Checks (sy-datum),398
59 Directory Traversal (Read Access),Directory Traversal (Read Access),22
60 OSQL Injection (Read Access),OSQL Injection (Read Access),89
71 SQL Injection (Native),SQL Injection (Native),89
80 Missing AUTHORITY-CHECK in Reports,Missing AUTHORITY-CHECK in Reports,862
82 Hidden ABAP Code,Hidden ABAP Code,503
84 Outgoing FTP Connections,Outgoing FTP Connections,0
85 Forceful Querying (Read Access),Forceful Querying (Read Access),639
87 Generic Table Query (Read Access),Generic Table Query (Read Access),639
88 Generic Table Query (Write Access),Generic Table Query (Write Access),639
