1/6/2015 12:15:00
type.info,,,
Contrast,http://www1.contrastsecurity.com/,1,Use as a Remote Provider
type.vulnerabilities,,,
Reflected Cross-Site Scripting,reflected-xss,79,
Insecure JSP Placement,insecure-jsp-access,
Pages Without Anti-Clickjacking Controls,clickjacking-control-missing
Parameter Pollution,parameter-pollution
Forms Without Autocomplete Prevention,autocomplete-missing
Session Rewriting,session-rewriting
type.severities,,,
Information,Information,1,1
High,High,4,4
Medium,Medium,3,3
Low,Low,2,2
