11/22/2015 20:14:00
type.info,,
Fortify SCA
type.vulnerabilities,,
Value Shadowing,Value Shadowing,592
Privacy Violation: Autocomplete,Privacy Violation: Autocomplete,522
ASP.NET MVC Bad Practices: Controller Action Without AntiForgery Validation,ASP.NET MVC Bad Practices: Controller Action Without AntiForgery Validation,352
ASP.NET MVC Bad Practices: Controller Action Not Restricted to POST,ASP.NET MVC Bad Practices: Controller Action Not Restricted to POST,598
Cookie Security: HTTPOnly not Set on Application Cookie,Cookie Security: HTTPOnly not Set on Application Cookie,614
Code Correctness: Negative Content-Length,Code Correctness: Negative Content-Length,398
Often Misused: HTTPS Check,Often Misused: HTTPS Check,300
Code Correctness: Use of Arithmetic Operators on Boolean Values,Code Correctness: Use of Arithmetic Operators on Boolean Values,398
Android Bad Practices: Missing Exported Flag or Component Permission,Android Bad Practices: Missing Exported Flag or Component Permission,265
Android Bad Practices: Application Permission Defined,Android Bad Practices: Application Permission Defined,265
Often Misused: File Uploads,Often Misused: File Uploads,434
Unsafe Native Invoke,Unsafe Native Invoke,111
Insecure Storage: Android World Readable or Writeable,Insecure Storage: Android World Readable or Writeable,359
ASP.NET Misconfiguration: HttpOnly Unset,ASP.NET Misconfiguration: HttpOnly Unset,565
Often Misused: Weak SSL Certificate,Often Misused: Weak SSL Certificate,296
Insecure Storage: Android Backup Storage,Insecure Storage: Android Backup Storage,359
Password Management: Insecure Submission,Password Management: Insecure Submission,359
Object Model Violation: Just One of Equals() and GetHashCode() Defined,Object Model Violation: Just One of Equals() and GetHashCode() Defined,581
Dangerous Function: Strcpy,Dangerous Function: Strcpy,676
Poor Error Handling: XACT_STATE(),Poor Error Handling: XACT_STATE(),754
Statistical: Function Return Unused,Statistical: Function Return Unused,754
Struts 2 Bad Practices: Request Map Tampering,Struts 2 Bad Practices: Request Map Tampering,20
XQuery Injection,XQuery Injection,652
Privacy Violation: Heap Inspection,Privacy Violation: Heap Inspection,226
Insecure Randomness: Poor Seeding,Insecure Randomness: Poor Seeding,330
PHP Misconfiguration: magic_quotes_sybase Enabled,PHP Misconfiguration: magic_quotes_sybase Enabled,20
WCF Misconfiguration: Certificate Validation Not Enabled,WCF Misconfiguration: Certificate Validation Not Enabled,345
ASP.NET MVC Bad Practices: Request Parameters Bound into Persisted Objects,ASP.NET MVC Bad Practices: Request Parameters Bound into Persisted Objects,20
Encoded Data Validation,Encoded Data Validation,722
Key Management: Empty Encryption Key,Key Management: Empty Encryption Key,259
SQL Injection: Lateral SQL Injection,SQL Injection: Lateral SQL Injection,704
Often Misused: Exception Handling,Often Misused: Exception Handling,248
Privilege Management: Missing Content Provider Permission,Privilege Management: Missing Content Provider Permission,265
Hadoop Job Manipulation,Hadoop Job Manipulation,20
Insecure SSL: Android Socket,Insecure SSL: Android Socket,297
