3/27/2015 11:45:00
type.info,,
WebInspect
type.vulnerabilities,,
Password Field Auto Complete Active,Password Field Auto Complete Active,200
"vBulletin Two-Step External Links ""url"" Parameter Cross-Site Scripting","vBulletin Two-Step External Links ""url"" Parameter Cross-Site Scripting",79
PHP Password Page (password.php3),PHP Password Page (password.php3),200
NetBilling 'nmember.cgi' Information Disclosure,NetBilling 'nmember.cgi' Information Disclosure,200
AnimatedImage CAPTCHA Detected,AnimatedImage CAPTCHA Detected,200
MyBB member.php 'fid' parameter SQL Injection,MyBB member.php 'fid' parameter SQL Injection,89
Blind SQL Injection Aggressive Option,Blind SQL Injection Aggressive Option,89
Insufficient Transport Layer Protection - Weak Cipher,Insufficient Transport Layer Protection - Weak Cipher,327
PHP Debug Application (debug.php),PHP Debug Application (debug.php),16
LylaCaptcha Detected,LylaCaptcha Detected,200
Possible Commerce Information,Possible Commerce Information,200
ActionScript Source Path Disclosure,ActionScript Source Path Disclosure,200
Crossdomain.xml Probing,Crossdomain.xml Probing,200
PHP Password Page (passwords.php3),PHP Password Page (passwords.php3),200
Mobile UUID Disclosure,Mobile UUID Disclosure,359
LoadBytes Usage,LoadBytes Usage,94
PHP Password Page (pass.php3),PHP Password Page (pass.php3),200
California Driver's License Number Disclosed,California Driver's License Number Disclosed,200
Insufficient Transport Layer Protection,Insufficient Transport Layer Protection,327
Session Fixation,Session Fixation,384
Geolocation Information Disclosure,Geolocation Information Disclosure,359
Netflow Analyzer index.jsp 'view' Cross-Site Scripting,Netflow Analyzer index.jsp 'view' Cross-Site Scripting,79
Possible Database Connection String (Access and Oracle ODBC -- Standard Security for MS Access and ODBC Oracle Driver,Possible Database Connection String (Access and Oracle ODBC -- Standard Security for MS Access and ODBC Oracle Driver,200
SQL Injection in Megabbs Forum's,SQL Injection in Megabbs Forum's,89
MSAccess,MSAccess,16
User-Controllable Character Set,User-Controllable Character Set,116
Debug Messaging,Debug Messaging,200
Invision Power Board 'showuser' Cross-Site Scripting,Invision Power Board 'showuser' Cross-Site Scripting,79
Xampp ming.php Cross-Site Scripting,Xampp ming.php Cross-Site Scripting,79
@Mail admin.php 'type' Cross-Site Scripting,@Mail admin.php 'type' Cross-Site Scripting,79
Expression Language Injection (HttpOnly Restriction Bypass),Expression Language Injection (HttpOnly Restriction Bypass),78
PHP Admin Application (admin.php),PHP Admin Application (admin.php),284
Apache Tomcat calendar 'time' Cross-Site Scripting,Apache Tomcat calendar 'time' Cross-Site Scripting,79
Charset Not Set To Unicode,Charset Not Set To Unicode,79
cPanel 'addhandle.html' Cross-Site Scripting,cPanel 'addhandle.html' Cross-Site Scripting,79
QuickCaptcha Detected,QuickCaptcha Detected,200
Simple PHP-CAPTCHA Detected,Simple PHP-CAPTCHA Detected,200
Privacy Violation: Credit Card Number,Privacy Violation: Credit Card Number,359
Silverlight Settings Allow HTML Access,Silverlight Settings Allow HTML Access,79
Tektronix PhaserLink ncl_subjects.html Administratiion,Tektronix PhaserLink ncl_subjects.html Administratiion,284
Joomla! index.php 'theme_background' Cross-SiteScripting,Joomla! index.php 'theme_background' Cross-SiteScripting,79
Possible Database Connection String (Oracle ODBC New Microsoft Driver,Possible Database Connection String (Oracle ODBC New Microsoft Driver,200
Falt4 CMS index.php 'handler' Parameter Cross-Site Scripting,Falt4 CMS index.php 'handler' Parameter Cross-Site Scripting,79
Novell Groupwise WebAccess 'User.Theme.index' Cross-Site Scripting,Novell Groupwise WebAccess 'User.Theme.index' Cross-Site Scripting,79
ZDR Captcha Detected,ZDR Captcha Detected,200
Security Image CAPTCHA Detected,Security Image CAPTCHA Detected,200
Netflow Analyzer index.jsp 'section' Cross-Site Scripting,Netflow Analyzer index.jsp 'section' Cross-Site Scripting,79
Insecure Cache-control Policy for Session Cookies,Insecure Cache-control Policy for Session Cookies,3
Insufficient Session ID Length,Insufficient Session ID Length,361
Possible SQL Query,Possible SQL Query,200
ENABLEDEBUGGER Tag Detected,ENABLEDEBUGGER Tag Detected,16
HacmeBank Settings Template,HacmeBank Settings Template,16
MyBB member.php 'uid' parameter SQL Injection Vulnerability,MyBB member.php 'uid' parameter SQL Injection Vulnerability,89
Arbitrary File Upload,Arbitrary File Upload,87
PostMessage Broadcast Vulnerability,PostMessage Broadcast Vulnerability,200
PHP-Nuke SQL Injection Probing,PHP-Nuke SQL Injection Probing,16
ASP Security Image Generator (CAPTCHA) Detected,ASP Security Image Generator (CAPTCHA) Detected,16
PHP Debug Application (debug.php4),PHP Debug Application (debug.php4),284
Fusebox Framework in Use,Fusebox Framework in Use,16
Oracle,Oracle,89
WebSphere PlantsByWebSphere AccountServlet 'userid' Cross-Site Scripting,WebSphere PlantsByWebSphere AccountServlet 'userid' Cross-Site Scripting,79
JiRo's Statistics System SQL Injection,JiRo's Statistics System SQL Injection,89
MySQL,MySQL,89
SOAP: Parameter Manipulation Directory Traversal (\..\..\..\..\..\..\..\..\..\..\etc\passwd%00),SOAP: Parameter Manipulation Directory Traversal (\..\..\..\..\..\..\..\..\..\..\etc\passwd%00),22
SOAP: Parameter Manipulation Directory Traversal (..\..\..\..\..\..\..\..\..\..\boot.ini%00),SOAP: Parameter Manipulation Directory Traversal (..\..\..\..\..\..\..\..\..\..\boot.ini%00),22
Character Set Not Enforced,Character Set Not Enforced,116
Sambar 'dumpenv.pl' Cross-Site Scripting,Sambar 'dumpenv.pl' Cross-Site Scripting,79
FlashVars Cross-Site Scripting,FlashVars Cross-Site Scripting,79
Missing Ciphersuite For Perfect Forward Secrecy,Missing Ciphersuite For Perfect Forward Secrecy,326
SquirrelMail 'compose.php' Cross-Site Scripting,SquirrelMail 'compose.php' Cross-Site Scripting,79
Use of captchas.net Service Detected,Use of captchas.net Service Detected,200
IBM Rational ClearQuest 'contextid' Cross-Site Scripting,IBM Rational ClearQuest 'contextid' Cross-Site Scripting,79
OpenSSL Heartbeat Read Overrun,OpenSSL Heartbeat Read Overrun,119
Missing Cross-Frame Scripting Protection,Missing Cross-Frame Scripting Protection,352
PHP Debug Application (debug.php3),PHP Debug Application (debug.php3),284
PHP iCalendar year.php Cross-Site Scripting,PHP iCalendar year.php Cross-Site Scripting,79
WebGoat Settings Template,WebGoat Settings Template,16
PHP Admin Application (admin.php5),PHP Admin Application (admin.php5),284
CuteNews 'show_archives.php' Cross-Site Scripting,CuteNews 'show_archives.php' Cross-Site Scripting,79
reCAPTCHA Implementation Detected,reCAPTCHA Implementation Detected,200
MyBB misc.php 'fid' parameter SQL Injection,MyBB misc.php 'fid' parameter SQL Injection,89
AnimatedCaptcha Detected,AnimatedCaptcha Detected,200
Cobalt RaQ telnetUsage.cgi Log Information Disclosure,Cobalt RaQ telnetUsage.cgi Log Information Disclosure,200
CAPTCHA for ASP Detected,CAPTCHA for ASP Detected,200
Blackboard Academic Suite 'viewCatalog' Cross-Site Scripting,Blackboard Academic Suite 'viewCatalog' Cross-Site Scripting,79
cpLinks search.php Cross-Site Scripting,cpLinks search.php Cross-Site Scripting,79
Invision Power Board 'f' Cross-Site Scripting,Invision Power Board 'f' Cross-Site Scripting,79
