11/23/2015 00:00:00
type.info,,
WhiteHat Sentinel
type.vulnerabilities,,
Access of Unique Device Id,Access of Unique Device Id,284
Access.Native.Win32,Access.Native.Win32,284
Application Fails to Leverage SSLv3/TLS,Application Fails to Leverage SSLv3/TLS,311
Application Misconfiguration,Application Misconfiguration,16
Application Misconfiguration: AspNet Enable Header Checking,Application Misconfiguration: AspNet Enable Header Checking,16
Authentication Impersonation: UI Redressing,Authentication Impersonation: UI Redressing,287
Authorization Bypass,Authorization Bypass,287
Basic Authentication Usage,Basic Authentication Usage,592
Cipher Transformation Insecure,Cipher Transformation Insecure,327
Cleartext Password,Cleartext Password,312
Command Execution: LDAP,Command Execution: LDAP,90
Conditional Assignment,Conditional Assignment,480
Cross Site Scripting,Cross Site Scripting,79
Cryptography key cleartext,Cryptography key cleartext,312
Cryptography PRNG insecure,Cryptography PRNG insecure,326
Cryptography Provider Undefined,Cryptography Provider Undefined,327
Custom Cryptography Algorithm,Custom Cryptography Algorithm,327
Dangerous Method Usage: JNI,Dangerous Method Usage: JNI,111
Debug Enabled,Debug Enabled,489
Denial of Service: ReadFile,Denial of Service: ReadFile,400
Denial of Service: ReadLine,Denial of Service: ReadLine,400
Denial of Service: Regex,Denial of Service: Regex,400
EMail Injection,EMail Injection,74
Excessive Environment Permissions,Excessive Environment Permissions,276
General Injection,General Injection,74
Global Error Handling Disabled,Global Error Handling Disabled,388
Hard Coded Cryptographic Salt,Hard Coded Cryptographic Salt,321
Hard Coded Cryptographic Seed,Hard Coded Cryptographic Seed,321
HardCoded Cryptographic Key,HardCoded Cryptographic Key,321
HardCoded IpAddress,HardCoded IpAddress,547
HardCoded IV,HardCoded IV,547
Hardcoded Password,Hardcoded Password,259
HTTP Header Injection,HTTP Header Injection,113
HTTP Request Injection,HTTP Request Injection,113
HTTP Request Splitting,HTTP Request Splitting,113
HTTP Response Splitting,HTTP Response Splitting,113
Improper Certificate Validation,Improper Certificate Validation,295
Improper File Handling,Improper File Handling,66
Information Leakage: CCN,Information Leakage: CCN,200
Information Leakage: CVV,Information Leakage: CVV,200
Information Leakage: Device ID,Information Leakage: Device ID,200
Information leakage: Device ID Disclosure,Information leakage: Device ID Disclosure,200
Information Leakage: Error Disclosure,Information Leakage: Error Disclosure,200
Information Leakage: Password,Information Leakage: Password,200
Information Leakage: Session ID,Information Leakage: Session ID,200
Information Leakage: SSN,Information Leakage: SSN,200
Information Leakage: SSO,Information Leakage: SSO,200
Injection environment variable,Injection environment variable,74
injection general,injection general,78
injection net http body,injection net http body,74
Injection net http url,Injection net http url,74
injection net mail,injection net mail,74
Injection net sms,Injection net sms,74
Injection net socket,Injection net socket,74
injection xml xpath,injection xml xpath,91
Injection: FTP Command,Injection: FTP Command,74
Injection: FTP Url,Injection: FTP Url,74
Injection: Hibernate Query Language,Injection: Hibernate Query Language,89
Injection: SQL,Injection: SQL,89
Injection: XPath,Injection: XPath,91
Injection.Environment.Reflection,Injection.Environment.Reflection,74
Injection.Environment.Variable,Injection.Environment.Variable,74
Injection.Net.Http.Body,Injection.Net.Http.Body,74
Injection.Net.Sms,Injection.Net.Sms,74
Injection.Net.Socket,Injection.Net.Socket,74
Insecure Cipher Mode,Insecure Cipher Mode,327
Insecure Cipher Padding,Insecure Cipher Padding,327
Insecure Cryptographic Cipher,Insecure Cryptographic Cipher,327
Insecure Cryptographic Protocol,Insecure Cryptographic Protocol,327
Insecure Digest,Insecure Digest,327
Insecure MAC,Insecure MAC,327
Insecure Session Url,Insecure Session Url,327
Insufficient Authorization: Bypass Method,Insufficient Authorization: Bypass Method,285
Insufficient Authorization: HTTP Verb Tampering,Insufficient Authorization: HTTP Verb Tampering,285
Insufficient Authorization: Role Manipulation,Insufficient Authorization: Role Manipulation,285
Insufficient Session Expiration,Insufficient Session Expiration,613
Insufficient Transport Layer Protection,Insufficient Transport Layer Protection,311
Maliciouscode compilation source,Maliciouscode compilation source,506
Maliciouscode injection bytecode,Maliciouscode injection bytecode,94
Maliciouscode malware url,Maliciouscode malware url,601
MaliciousCode.Compilation.Source,MaliciousCode.Compilation.Source,506
MaliciousCode.Injection.ByteCode,MaliciousCode.Injection.ByteCode,94
MaliciousCode.Malware.Url,MaliciousCode.Malware.Url,601
Missing Access Strategy,Missing Access Strategy,862
Non HttpOnly Session Cookie,Non HttpOnly Session Cookie,565
OS Commanding,OS Commanding,78
Overly Permissive CORS Policy,Overly Permissive CORS Policy,264
Path Traversal,Path Traversal,22
Platform Configuration Android BackupAllowed,Platform Configuration Android BackupAllowed,530
