Location|1
Environment|2
Technology-specific Environment Issues|3
J2EE Environment Issues|4
J2EE Misconfiguration: Data Transmission Without Encryption|5
J2EE Misconfiguration: Insufficient Session-ID Length|6
J2EE Misconfiguration: Missing Custom Error Page|7
J2EE Misconfiguration: Entity Bean Declared Remote|8
J2EE Misconfiguration: Weak Access Permissions for EJB Methods|9
ASP.NET Environment Issues|10
ASP.NET Misconfiguration: Creating Debug Binary|11
ASP.NET Misconfiguration: Missing Custom Error Page|12
ASP.NET Misconfiguration: Password in Configuration File|13
Compiler Removal of Code to Clear Buffers|14
External Control of System or Configuration Setting|15
Configuration|16
Code|17
Source Code|18
Data Handling|19
Improper Input Validation|20
Pathname Traversal and Equivalence Errors|21
Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')|22
Relative Path Traversal|23
Path Traversal: '../filedir'|24
Path Traversal: '/../filedir'|25
Path Traversal: '/dir/../filename'|26
Path Traversal: 'dir/../../filename'|27
Path Traversal: '..\filedir'|28
Path Traversal: '\..\filename'|29
Path Traversal: '\dir\..\filename'|30
Path Traversal: 'dir\..\..\filename'|31
Path Traversal: '...' (Triple Dot)|32
Path Traversal: '....' (Multiple Dot)|33
Path Traversal: '....//'|34
Path Traversal: '.../...//'|35
Absolute Path Traversal|36
Path Traversal: '/absolute/pathname/here'|37
Path Traversal: '\absolute\pathname\here'|38
Path Traversal: 'C:dirname'|39
Path Traversal: '\UNC share name' (Windows UNC Share)|40
Improper Resolution of Path Equivalence|41
Path Equivalence: 'filename.' (Trailing Dot)|42
Path Equivalence: 'filename....' (Multiple Trailing Dot)|43
Path Equivalence: 'file.name' (Internal Dot)|44
Path Equivalence: 'file...name' (Multiple Internal Dot)|45
Path Equivalence: 'filename ' (Trailing Space)|46
Path Equivalence: ' filename' (Leading Space)|47
Path Equivalence: 'file name' (Internal Whitespace)|48
Path Equivalence: 'filename/' (Trailing Slash)|49
Path Equivalence: '//multiple/leading/slash'|50
Path Equivalence: '/multiple//internal/slash'|51
Path Equivalence: '/multiple/trailing/slash//'|52
Path Equivalence: '\multiple\\internal\\backslash'|53
Path Equivalence: 'filedir\\' (Trailing Backslash)|54
Path Equivalence: '/./' (Single Dot Directory)|55
Path Equivalence: 'filedir*' (Wildcard)|56
Path Equivalence: 'fakedir/../realdir/filename'|57
Path Equivalence: Windows 8.3 Filename|58
Improper Link Resolution Before File Access ('Link Following')|59
UNIX Path Link Problems|60
UNIX Symbolic Link (Symlink) Following|61
UNIX Hard Link|62
Windows Path Link Problems|63
