type.info,,,
Acunetix WVS,http://www.acunetix.com/vulnerability-scanner/,8,The Acunetix importer requires the XML output from Acunetix. To export in this format, use the /exportxml option on the command line.,
type.vulnerabilities,,,
PHP preg_replace used on user input,PHP preg_replace used on user input,95
FCKeditor Arbitrary File Upload,FCKeditor Arbitrary File Upload,434
SNMP information disclosure,SNMP information disclosure,200
PHP 4.3.0 file disclosure and possible code execution,PHP 4.3.0 file disclosure and possible code execution,552
Fantastico fileslist,Fantastico fileslist,200
PHP undefined Safe_Mode_Include_Dir safemode bypass vulnerability,PHP undefined Safe_Mode_Include_Dir safemode bypass vulnerability,284
Apache stronghold-info enabled,Apache stronghold-info enabled,200
Frontpage authors.pwd available,Frontpage authors.pwd available,552
Apache version older than 1.3.41,Apache version older than 1.3.41,89
Backup files,Backup files,552
JBoss HttpAdaptor JMXInvokerServlet,JBoss HttpAdaptor JMXInvokerServlet,284
Apache Tomcat Directory Traversal,Apache Tomcat Directory Traversal,22
Apache Tomcat sample files,Apache Tomcat sample files,552
HTTP Parameter Pollution,HTTP Parameter Pollution,235
Apache Tomcat version older than 6.0.10,Apache Tomcat version older than 6.0.10,22
SMB Administrator account without password,SMB Administrator account without password,311
SQL injection,SQL injection,89
Apache version older than 1.3.29,Apache version older than 1.3.29,120
Content type is not specified,Content type is not specified,16
Nginx buffer underflow vulnerability,Nginx buffer underflow vulnerability,124
Plone Arbitrary Code Execution,Plone Arbitrary Code Execution,95
PHP hangs on parsing particular strings as floating point number,PHP hangs on parsing particular strings as floating point number,754
PHP Safedir Restriction Bypass Vulnerabilities,PHP Safedir Restriction Bypass Vulnerabilities,284
Apache Tomcat version older than 4.1.37,Apache Tomcat version older than 4.1.37,89
Possible sensitive files,Possible sensitive files,552
Frontpage Extensions Enabled,Frontpage Extensions Enabled,552
HTTPS connection is using SSL version 2,HTTPS connection is using SSL version 2,320
ColdFusion 8 FCKEditor File Upload Vulnerability,ColdFusion 8 FCKEditor File Upload Vulnerability,434
PHP version older than 5.2.1,PHP version older than 5.2.1,77
Microsoft IIS 5.1 Directory Authentication Bypass,Microsoft IIS 5.1 Directory Authentication Bypass,284
WebDAV Directory with Write Permissions,WebDAV Directory with Write Permissions,284
PHP open_basedir is not set,PHP open_basedir is not set,98
Telnet weak password,Telnet weak password,521
XML External Entity Injection And XML Injection,XML External Entity Injection And XML Injection,91
Apache mod_negotiation filename bruteforcing,Apache mod_negotiation filename bruteforcing,307
SSL weak ciphers,SSL weak ciphers,327
ASP.NET application trace enabled,ASP.NET application trace enabled,200
JBoss JMX Console Unrestricted Access,JBoss JMX Console Unrestricted Access,284
Apache Tomcat version older than 6.0.6,Apache Tomcat version older than 6.0.6,89
MySQL Community Server 5.0 to 5.0.45 Multiple Vulnerabilities,MySQL Community Server 5.0 to 5.0.45 Multiple Vulnerabilities,284
MySQL Community Server Symlink Attack Vulnerability,MySQL Community Server Symlink Attack Vulnerability,284
WebDAV Enabled,WebDAV Enabled,284
SMB list shares,SMB list shares,200
Rsh service running,Rsh service running,200
JBoss Server MBean,JBoss Server MBean,284
Apache 2.x version older than 2.2.8,Apache 2.x version older than 2.2.8,79
Wordpress database credentials disclosure,Wordpress database credentials disclosure,200
PHP code injection,PHP code injection,95
Adobe Coldfusion 8 Multiple Linked XSS Vulnerabilies,Adobe Coldfusion 8 Multiple Linked XSS Vulnerabilies,79
File tampering,File tampering,552
Apache Tomcat Directory Host Appbase Authentication Bypass Vulnerability,Apache Tomcat Directory Host Appbase Authentication Bypass Vulnerability,284
Apache version up to 1.3.33 htpasswd local overflow,Apache version up to 1.3.33 htpasswd local overflow,120
Open X11 server,Open X11 server,284
Apache configured to run as proxy,Apache configured to run as proxy,4
PHP register_globals enabled,PHP register_globals enabled,473
Apache 2.x version older than 2.0.46,Apache 2.x version older than 2.0.46,754
Trojan horse detected,Trojan horse detected,507
Struts2/Xwork Remote Command Execution,Struts2/Xwork Remote Command Execution,77
PHP POST file upload buffer overflow vulnerabilities,PHP POST file upload buffer overflow vulnerabilities,120
ASP.NET debugging enabled,ASP.NET debugging enabled,215
PHP Hash Collision Denial Of Service Vulnerability,PHP Hash Collision Denial Of Service Vulnerability,754
Universal Plug and Play service running,Universal Plug and Play service running,200
Proxy can be used to connect to arbitrary ports,Proxy can be used to connect to arbitrary ports,284
LDAP Injection,LDAP Injection,90
Apache Tomcat version older than 6.0.16,Apache Tomcat version older than 6.0.16,200
PHP version older than 4.3.8,PHP version older than 4.3.8,77
Microsoft IIS WebDAV Authentication Bypass,Microsoft IIS WebDAV Authentication Bypass,284
Debian OpenSSL predictable random number generator,Debian OpenSSL predictable random number generator,327
TinyMCE ajax_create_folder Remote Code Execution Vulnerability,TinyMCE ajax_create_folder Remote Code Execution Vulnerability,94
Microsoft IIS5 NTLM and Basic authentication bypass,Microsoft IIS5 NTLM and Basic authentication bypass,284
MySQL Community Server to 5.1.23 / 6.0.4 Multiple Vulnerabilities,MySQL Community Server to 5.1.23 / 6.0.4 Multiple Vulnerabilities,284
PHP version older than 4.4.1,PHP version older than 4.4.1,284
Apache 2.x version older than 2.0.49,Apache 2.x version older than 2.0.49,754
Remote XSL inclusion,Remote XSL inclusion,79
Apache server-status enabled,Apache server-status enabled,200
MySQL Buffer Overflow in User Defined Functions,MySQL Buffer Overflow in User Defined Functions,120
PHP socket_iovec_alloc() integer overflow,PHP socket_iovec_alloc() integer overflow,120
Mercurial repository found,Mercurial repository found,200
Unrestricted File Upload,Unrestricted File Upload,434
JetBrains .idea project directory,JetBrains .idea project directory,200
Google Hacking Database vulnerability found.,Google Hacking Database vulnerability found.,552
PHP.exe Windows CGI for Apache may let remote users view files on the server,PHP.exe Windows CGI for Apache may let remote users view files on the server,552
Apache 2.x version older than 2.0.61,Apache 2.x version older than 2.0.61,79
ASPX debugging enabled,ASPX debugging enabled,11
TRACK method is enabled,TRACK method is enabled,200
FTP anonymous writable directories,FTP anonymous writable directories,285
PHP mail function ASCII control character header spoofing vulnerability,PHP mail function ASCII control character header spoofing vulnerability,285
Check for apache versions up to 1.3.25&comma; 2.0.38,Check for apache versions up to 1.3.25&comma; 2.0.38,200
