type.info,,,
IBM Rational AppScan Source Edition,http://www-01.ibm.com/software/rational/products/appscan/enterprise/,-,The Appscan Enterprise importer requires the full xml report.,
type.vulnerabilities,,,
Vulnerability.InputValidation.UnlimitedSize,Vulnerability.InputValidation.UnlimitedSize,130
Vulnerability.Malicious.DynamicCode.Execution,Vulnerability.Malicious.DynamicCode.Execution,470
Vulnerability.Quality.Deprecated,Vulnerability.Quality.Deprecated,477
Vulnerability.Injection.XPath,Vulnerability.Injection.XPath,643
Vulnerability.Privacy,Vulnerability.Privacy,359
Vulnerability.AppDOS.ConnectionClose,Vulnerability.AppDOS.ConnectionClose,404
Vulnerability.Logging,Vulnerability.Logging,390
Vulnerability.Validation.Cryptographic,Vulnerability.Validation.Cryptographic,20
Vulnerability.ErrorHandling.RevealDetails.StackTrace,Vulnerability.ErrorHandling.RevealDetails.StackTrace,497
Vulnerability.BufferOverflow.IntegerOverflow,Vulnerability.BufferOverflow.IntegerOverflow,190
Vulnerability.FileUpload,Vulnerability.FileUpload,434
Vulnerability.Native.Method,Vulnerability.Native.Method,242
Vulnerability.Validation.Required.Logging,Vulnerability.Validation.Required.Logging,390
Vulnerability.AppDOS.XML,Vulnerability.AppDOS.XML,400
Vulnerability.Quality.Comments.Revealing,Vulnerability.Quality.Comments.Revealing,615
Vulnerability.Authentication,Vulnerability.Authentication,287
Vulnerability.Cryptography.NonStandard,Vulnerability.Cryptography.NonStandard,327
Vulnerability.Logging.Forge,Vulnerability.Logging.Forge,117
Vulnerability.Info,Vulnerability.Info,200
Vulnerability.PathTraversal,Vulnerability.PathTraversal,73
Vulnerability.Quality.NeverCall,Vulnerability.Quality.NeverCall,242
Vulnerability.Logging.Required,Vulnerability.Logging.Required,390
Vulnerability.Quality.Comments,Vulnerability.Quality.Comments,546
Vulnerability.FileInclusion,Vulnerability.FileInclusion,98
Vulnerability.Malicious.Trigger,Vulnerability.Malicious.Trigger,511
Vulnerability.Quality.HardCoding,Vulnerability.Quality.HardCoding,547
Vulnerability.Validation.Encoding,Vulnerability.Validation.Encoding,116
Vulnerability.Validation.Required.BusinessLogic,Vulnerability.Validation.Required.BusinessLogic,20
Vulnerability.AppDOS.Lockout,Vulnerability.AppDOS.Lockout,645
Vulnerability.Authentication.Credentials.Weak,Vulnerability.Authentication.Credentials.Weak,521
Vulnerability.BufferOverflow.Internal,Vulnerability.BufferOverflow.Internal,120
Vulnerability.CAPTCHA,Vulnerability.CAPTCHA,804
Vulnerability.Quality.Unsupported,Vulnerability.Quality.Unsupported,477
Vulnerability.Injection.XML,Vulnerability.Injection.XML,91
Vulnerability.Communications.Unencrypted,Vulnerability.Communications.Unencrypted,311
Vulnerability.PrivilegeEscalation,Vulnerability.PrivilegeEscalation,266
Vulnerability.Privacy.DataLeakage,Vulnerability.Privacy.DataLeakage,201
Vulnerability.Native,Vulnerability.Native,242
Vulnerability.Authentication.Credentials.Unprotected,Vulnerability.Authentication.Credentials.Unprotected,522
Vulnerability.CrossSiteScripting,Vulnerability.CrossSiteScripting,79
Vulnerability.Validation.ClientOnly,Vulnerability.Validation.ClientOnly,20
Vulnerability.Injection.XSLT,Vulnerability.Injection.XSLT,74
Vulnerability.Injection,Vulnerability.Injection,74
Vulnerability.Cryptography.InsecureAlgorithm,Vulnerability.Cryptography.InsecureAlgorithm,327
Vulnerability.Injection.SecondOrder,Vulnerability.Injection.SecondOrder,74
Vulnerability.Quality.TestCode,Vulnerability.Quality.TestCode,489
Vulnerability.Native.Library,Vulnerability.Native.Library,242
Vulnerability.Quality,Vulnerability.Quality,398
Vulnerability.Phishing.Email,Vulnerability.Phishing.Email,79
Vulnerability.Validation.EncodingRequired.Struts,Vulnerability.Validation.EncodingRequired.Struts,109
Vulnerability.ErrorHandling,Vulnerability.ErrorHandling,388
Vulnerability.Validation.Required.DBConnectionStringManipulation,Vulnerability.Validation.Required.DBConnectionStringManipulation,15
Vulnerability.BufferOverflow,Vulnerability.BufferOverflow,120
Vulnerability.Validation.XML,Vulnerability.Validation.XML,112
Vulnerability.Validation.Required.HiddenFields,Vulnerability.Validation.Required.HiddenFields,472
Vulnerability.Authentication.Credentials.Cookies,Vulnerability.Authentication.Credentials.Cookies,565
Vulnerability.Malicious.DynamicCode.Compiler,Vulnerability.Malicious.DynamicCode.Compiler,507
Vulnerability.X509Certificate.NonPortable,Vulnerability.X509Certificate.NonPortable,295
Vulnerability.Quality.OverComplex,Vulnerability.Quality.OverComplex,407
Vulnerability.AccessControl.InsecureFilePermissions,Vulnerability.AccessControl.InsecureFilePermissions,264
Vulnerability.Quality.Not_Implemented,Vulnerability.Quality.Not_Implemented,447
Vulnerability.Validation.Required.URL,Vulnerability.Validation.Required.URL,425
Vulnerability.Cryptography.PoorEntropy,Vulnerability.Cryptography.PoorEntropy,331
Vulnerability.Validation.Client,Vulnerability.Validation.Client,20
Vulnerability.Communications.SSL,Vulnerability.Communications.SSL,319
