type.info,,
Fortify 360,http://www.fortify.com,2.5.0,The Fortify importer requires the Fortify FPR format. To export in this format, use the -f filename.fpr option.,
type.vulnerabilities,,
Weak WS-SecurityPolicy: Missing Signature on Message Body,Weak WS-SecurityPolicy: Missing Signature on Message Body,287
ASP.NET Misconfiguration: Use of Impersonation Context,ASP.NET Misconfiguration: Use of Impersonation Context,556
Often Misused: Exception Handling(criticalsection),Often Misused: Exception Handling(criticalsection),248
WCF Misconfiguration: Security Not Enabled,WCF Misconfiguration: Security Not Enabled,254
Unreleased Resource: Synchronization,Unreleased Resource: Synchronization,411
Axis 2 Service Requester Misconfiguration: Missing Outbound Signature,Axis 2 Service Requester Misconfiguration: Missing Outbound Signature,345
LDAP Manipulation,LDAP Manipulation,90
Access Control: Android Provider,Access Control: Android Provider,566
WCF Misconfiguration: Throttling Not Enabled,WCF Misconfiguration: Throttling Not Enabled,400
Privilege Management: Android Location,Privilege Management: Android Location,265
Axis 2 Service Provider Misconfiguration: Unsigned Inbound Timestamp,Axis 2 Service Provider Misconfiguration: Unsigned Inbound Timestamp,345
Struts 2: Duplicate Action Field Validators,Struts 2: Duplicate Action Field Validators,101
Dead Code: Expression is Always true,Dead Code: Expression is Always true,571
Axis 2 Service Provider Misconfiguration: WS-Security Not Enabled,Axis 2 Service Provider Misconfiguration: WS-Security Not Enabled,311
Struts Misconfiguration: Missing Form Property Type,Struts Misconfiguration: Missing Form Property Type,16
Weak Encryption: Inadequate RSA Padding,Weak Encryption: Inadequate RSA Padding,325
Unsafe JNI,Unsafe JNI,111
Cross-Site Scripting: Persistent,Cross-Site Scripting: Persistent,79
J2EE Bad Practices: Non-Serializable Object Stored in Session,J2EE Bad Practices: Non-Serializable Object Stored in Session,579
Android Bad Practices: Just Provider writePermission Defined,Android Bad Practices: Just Provider writePermission Defined,265
WCF Misconfiguration: MSMQ Anonymous Transport Client,WCF Misconfiguration: MSMQ Anonymous Transport Client,285
Axis Service Provider Misconfiguration: Weak Token,Axis Service Provider Misconfiguration: Weak Token,311
Often Misused: File System(windows),Often Misused: File System(windows),560
Flex Misconfiguration: Debug Information,Flex Misconfiguration: Debug Information,11
Buffer Overflow: Format String,Buffer Overflow: Format String,134
Poor Error Handling: Overly Broad Throws,Poor Error Handling: Overly Broad Throws,397
Credential Management: Hardcoded Username,Credential Management: Hardcoded Username,255
Build Misconfiguration: External Ivy Dependency Repository,Build Misconfiguration: External Ivy Dependency Repository,16
Weak XML Schema: Undefined Namespace,Weak XML Schema: Undefined Namespace,20
Struts 2: Duplicate Validators,Struts 2: Duplicate Validators,101
Cookie Security: Session Cookies Disabled,Cookie Security: Session Cookies Disabled,384
Struts Misconfiguration: Missing Form Bean Name,Struts Misconfiguration: Missing Form Bean Name,16
Code Correctness: Misspelled Method Name,Code Correctness: Misspelled Method Name,398
