type.info,,,
Manual,https://github.com/OWASP/SSVL,.3,This upload uses the SSVL format.,
type.vulnerabilities,,,
Inclusion of Web Functionality from an Untrusted Source,Inclusion of Web Functionality from an Untrusted Source,830
Declaration of Catch for Generic Exception,Declaration of Catch for Generic Exception,396
DEPRECATED: State Synchronization Error,DEPRECATED: State Synchronization Error,373
Improper Validation of Certificate with Host Mismatch,Improper Validation of Certificate with Host Mismatch,297
Declaration of Throws for Generic Exception,Declaration of Throws for Generic Exception,397
Asymmetric Resource Consumption (Amplification),Asymmetric Resource Consumption (Amplification),405
Operation on Resource in Wrong Phase of Lifetime,Operation on Resource in Wrong Phase of Lifetime,666
Improper Locking,Improper Locking,667
OWASP Top Ten 2004 Category A7 - Improper Error Handling,OWASP Top Ten 2004 Category A7 - Improper Error Handling,728
Operator Precedence Logic Error,Operator Precedence Logic Error,783
Improper Neutralization of Input During Web Page Generation (''Cross-site Scripting''),Improper Neutralization of Input During Web Page Generation (''Cross-site Scripting''),79
Source Code,Source Code,18
Empty Password in Configuration File,Empty Password in Configuration File,258
Uncaught Exception,Uncaught Exception,248
Plaintext Storage of a Password,Plaintext Storage of a Password,256
Improper Validation of Integrity Check Value,Improper Validation of Integrity Check Value,354
Return of Pointer Value Outside of Expected Range,Return of Pointer Value Outside of Expected Range,466
Mac Virtual File Problems,Mac Virtual File Problems,70
Addition of Data Structure Sentinel,Addition of Data Structure Sentinel,464
Use of Inner Class Containing Sensitive Data,Use of Inner Class Containing Sensitive Data,492
Improper Fulfillment of API Contract (''API Abuse''),Improper Fulfillment of API Contract (''API Abuse''),227
CERT C++ Secure Coding Section 03 - Expressions (EXP),CERT C++ Secure Coding Section 03 - Expressions (EXP),871
OWASP Top Ten 2004 Category A10 - Insecure Configuration Management,OWASP Top Ten 2004 Category A10 - Insecure Configuration Management,731
2009 Top 25 - Insecure Interaction Between Components,2009 Top 25 - Insecure Interaction Between Components,751
Improper Neutralization of Special Elements used in an LDAP Query (''LDAP Injection''),Improper Neutralization of Special Elements used in an LDAP Query (''LDAP Injection''),90
SFP Cluster: Risky Values,SFP Cluster: Risky Values,885
CERT Java Secure Coding Section 13 - Serialization (SER),CERT Java Secure Coding Section 13 - Serialization (SER),858
Embedded Malicious Code,Embedded Malicious Code,506
Public Data Assigned to Private Array-Typed Field,Public Data Assigned to Private Array-Typed Field,496
Cleartext Storage in a File or on Disk,Cleartext Storage in a File or on Disk,313
Incorrect Resource Transfer Between Spheres,Incorrect Resource Transfer Between Spheres,669
