type.info,,
Mavituna Security Netsparker,http://www.mavitunasecurity.com/,-,The Netsparker importer requires the Vulnerabilities List (XML) format from the Reporting menu in the Netsparker GUI.,
type.vulnerabilities,,
Apache Version Disclosure,ApacheVersionDisclosure,200
Special Check: Cookie Support Detection,SpecialCaseNoCookies,16
ASP.NET MVC Version Disclosure,MvcVersionDisclosure,200
Remote File Inclusion,RFI,99
Perl Version Disclosure,PerlVersionDisclosure,200
Boolean Based SQL Injection,ConfirmedBooleanSQLInjection,89
Directory Listing (Apache),ApacheDirectoryListing,548
[Possible] Config File Found,PossibleConfigFile,425
XSS via Local File Inclusion,XSSviaLFI,79
MySQL Version Is Out Of Date,MySQLOutOfDate,16
[Possible] Command Injection,PossibleCI,78
Trace.axd File Found,TraceaxdFound,16
Code Execution via Local File Inclusion,LFICodeInclusion,78
Default Apache Page Identified,DefaultApachePage,16
MSSQL Username Disclosure,MSSQLUsernameDisclosure,200
File Upload Functionality Identified,FileUploadFound,16
Apache Coyote Version Disclosure,ApacheCoyoteVersionDisclosure,16
[Low Possibility] Remote File Inclusion,LowPossibilityRFI,98
Digest Authorization Required,DigestAuthrizationRequired,16
Local File Inclusion,LFI,99
Directory Listing (ASP.NET Server),ASPNETDirectoryListing,548
PHP Version Disclosure,PhpOutOfDate,16
[Possible] SQL Injection,PossibleSqlInjection,89
Blind Command Injection,BlindCommandInjection,78
[Possible] SQL File Found,PossibleSqlFile,425
Frontpage Version Disclosure,FrontPageVersionDisclosure,200
Crossdomain.xml Identified,CrossDomainXML,16
Silverlight Client  Access Policy Identified,ClientAccessPolicy,200
MySQL Username Disclosure,MySQLUsernameDisclosure,200
Django Stack Trace Disclosure,DjangoStackTraceDisclosure,209
[Possible] Permanent Cross-site Scripting,PossiblePermanentXSS,79
[Possible] ASP.NET Source Code Disclosure,ASPNETSourceCodeDisclosure,541
[Possible] Readme/Help File Found,PossibleReadmeFile,425
Mongrel Web Server Version Disclosure,MongrelVersionDisclosure,200
PHP Version Disclosure,PHPVersion,16
[Possible] Internal IP Address Leakage,InternalIPLeakage,200
XSS via Remote File Inclusion,XSSviaRFI,79
Internal Server Error,InternalServerError,550
IIS Version Disclosure,IISVersion,16
Remote Code Evaluation via LFI (PHP),RCEviaLFI,94
[Possible] Boolean Based SQL Injection,PossibleBooleanSQLInjection,89
[Possible] Administration Page Found,PossibleAdminFile,425
MS Office Information Disclosure,MSOfficeDocumentInformationDisclosure,200
Backup Source Code Found,BackupSourceCodeFound,425
[Probable] Local File Inclusion,HighPossibilityLFI,99
Weak Credentials Identified,WeakCredentials,16
Blind SQL Injection,ConfirmedBlindSQLInjection,89
Inactive Web Backdoor Identified,PassiveWebBackdoorIdentified,16
MS SQL Version Is Out Of Date,MSSQLOutOfDate,16
GIT Disclosure,GITDisclosure,200
MDB (MS Access Database File) Found,MDBFound,16
ORACLE Server Identified,ORACLEIdentified,16
Python Stack Trace Disclosure,PythonStackTraceDisclosure,209
Default IIS 7 Page Identified,DefaultIIS7Page,16
Apache Module Version Disclosure,ApacheModuleVersionDisclosure,16
Apache MultiViews Enabled,ApacheMultiViewsEnabled,16
Ineffective Filtering,InactiveXSS,79
ASP.NET Version Disclosure,ASPNETVersionDisclosure,200
Open Redirection,OpenRedirect,601
[Possible] Generic Source Code Disclosure,GenericSourceCodeDisclosure,541
Microsoft SQL Server Identified,MSSQLIdentified,200
Redirect Response BODY Has Two Responses,RedirectTwoResponses,16
Password Transmitted Over HTTP,PasswordOverHTTP,311
[Possible] Internal Path Leakage (Windows),PossibleInternalWindowsPathLeakage,200
Python Version Disclosure,PythonVersionDisclosure,200
Oracle Version Is Out Of Date,OracleOutOfDate,16
ViewState Pre Analyser,ViewStateAnalyser,16
TRACE / TRACK Identified,TRACETRACKIdentified,16
Critical Form Served Over HTTP,PasswordFormOverHTTP,311
Open Silverlight Client Access Policy Identified,OpenClientAccessPolicy,16
Nginx Server Version Disclosure,NginxVersionDisclosure,200
Tomcat Version Is Out Of Date,TomcatOutOfDate,16
E-mail Address Disclosure,EmailDisclosure,200
HTTP Header Injection,HeaderInjection,113
Remote Code Evaluation (PHP),RCEPHP,94
Certificate with Weak Signature Algorithm Detected,WeakSignatureAlgorithmDetected,326
[Possible] Cross-site Scripting,PossibleXSS,79
Default Tomcat Page Identified,DefaultTomcatPage,16
Directory Listing (IIS),IISDirectoryListing,548
Open Policy Crossdomain.xml Identified,OpenCrossDomainXML,16
PHP Version Disclosure,PHPVersionDisclosure,16
Remote Code Evaluation (ASP),RCEASP,94
MySQL 5 Database Identified,MySQL5Identified,16
ASP.NET Debugging Enabled,ASPNETDebugEnabled,16
Microsoft Access Identified,MSAccessIdentified,200
Redirect Response BODY Is Too Large,RedirectBodyTooLarge,16
Apache Web Server Identified,ApacheIdentified,200
[Possible] Remote Code Evaluation (PHP),PossibleRCEPHP,94
htpasswd Disclosure,htpasswdDisclosure,16
Cookie Not Marked As Secure,CookieNotMarkedAsSecure,614
[Possible] Log File Found,PossibleLogFile,425
SQL Injection,ConfirmedSQLInjection,89
Permanent Cross-site Scripting (XSS),LowPossibilityPermanentXSS,16
[Possible] Remote Code Evaluation (ASP),PossibleRCEASP,94
Insecure Transportation Security Protocol (SSLv2) Supported,SSLVersion2Support,16
Apache Server-Status Found,ApacheServerStatus,200
SVN Disclosure,SVNDisclosure,200
Postgres Server Identified,PostgreSQLIdentified,200
[Possible] Internal Path Leakage (*nix),PossibleInternalUnixPathLeakage,200
[Possible] Second Order SQL Injection,PossibleSecondOrderSqlInjection,89
Invalid SSL Certificate Detected,InvalidSSLCertificate,298
Tomcat Exception Report Disclosure,TomcatExceptionReport,209
ASP.NET Stack Trace Disclosure,ASPNETStackTrace,209
Ruby-Sinatra Framework Stack Trace Disclosure,SinatraStackTraceDisclosure,209
Apache Server-Info Found,ApacheServerInfo,200
phpinfo() Information Disclosure,PHPInfoIdentified,200
htaccess Disclosure,htaccessDisclosure,16
Forbidden Resource,ForbiddenResource,16
Special Check: No Basic Auth,SpecialCaseNoBasicAuthentication,16
IIS Version Disclosure,IISVersionDisclosure,16
[Possible] Test File Found,PossibleTestFile,425
Sitemap Identified,SitemapIdentified,16
Database Error Message,DatabaseErrorMessages,209
Tomcat Version Disclosure,TomcatVersionDisclosure,200
Weak Ciphers Detected,WeakCiphersDetected,326
[Possible] Remote File Inclusion,PossibleRFI,99
IIS Identified,IISIdentified,16
CVS Disclosure,CVSDisclosure,200
Tomcat Version Disclosure,TomcatVersion,200
Cold Fusion Stack Trace Disclosure,ColdFusionStackTraceDisclosure,209
Digest Authorization Required,DigestAuthorizationRequired,16
Apache Version Disclosure,ApacheVersion,200
Basic Authorisation over Clear Text,ClearTextBasicAuth,311
MySQL Database Identified,MySQLIdentified,16
Database User Has Admin Privileges,DBConnectedAsAdmin,16
Auto Complete Enabled,AutoCompleteEnabled,425
MAC is not Enabled in ViewState,ViewStateMACNotEnabled,16
[Possible] Backup File Found,BackupFileFound,425
[Low Possibility] Command Injection,LowPossibilityCI,16
XSS Protection Disabled,XSSProtectionDisabled,79
[Probable] Boolean SQL Injection,HighPossibleBooleanSQLInjection,89
MySQL 4 Database Identified,MySQL4Identified,16
[Probable] SQL Injection,HighlyPossibleSqlInjection,89
Programming Error Message,ProgrammingErrorMessages,209
ORACLE Application Server Version Disclosure,ORACLEApplicationServerVersionDisclosure,200
Tomcat Source Code Disclosure Identified,TomcatSourceCodeDisclosure,541
Password Transmitted Over Query String,PasswordOverQueryString,311
ORACLE Application Server Version Disclosure,ORACLEApplicationServerVersion,16
[Possible] PHP Source Code Disclosure,PHPSourceCodeDisclosure,541
[Possible] Installation File Found,PossibleInstallationFile,425
Apache Version Is Out Of Date,ApacheOutOfDate,16
ViewState is not Encrypted,ViewStateNotEncrypted,16
Directory Listing (Tomcat),TomcatDirectoryListing,548
Java Servlet Version Disclosure,JavaServletVersionDisclosure,16
MySQL Database Identified,MySQLIdentified,16
Robots.txt Identified,RobotsIdentified,200
Cookie Not Marked As HttpOnly,CookieNotMarkedAsHttpOnly,312
[Possible] Local File Inclusion,PossibleLocalFileInclusion,99
Permanent Cross-site Scripting,PermanentXSS,79
[Possible] Blind SQL Injection,PossibleBlindSQLInjection,89
Basic Authorization Required,BasicAuthorisationRequired,16
Anonymous Cipher Suites Detected,AnonAuthDetected,287
Command Injection,CommandInjection,78
NTLM Authorization Required,NTLMAuthrizationRequired,16
Directory Identified,DirectoryFound,548
Web Backdoor Identified,WebBackdoorIdentified,16
OpenSSL Version Disclosure,OpenSSLVersionDisclosure,200
Static Special Check,SpecialCase,16
Frame Injection,FrameInjection,79
ASP.NET Identified,ASPNETIdentified,200
Default IIS 6 Page Identified,DefaultIIS6Page,16
[Possible] ASP or JSP Source Code Disclosure,ASPorJSPSourceCodeDisclosure,541
Cross-site Scripting,XSS,79
Administration Page Found,Administration Page Found,425
Anonymous Ciphers Detected,Anonymous Ciphers Detected,287
Apache MyFaces Stack Trace Disclosure,Apache MyFaces Stack Trace Disclosure,209
ASP.NET Source Code Disclosure,ASP.NET Source Code Disclosure,540
AWStats Identified,AWStats Identified,200
Backup File Found,Backup File Found,425
ColdFusion Source Code Disclosure,ColdFusion Source Code Disclosure,540
ColdFusion Stack Trace Disclosure,ColdFusion Stack Trace Disclosure,209
Configuration File Found,Configuration File Found,425
Cross-site Scripting (XSS),Cross-site Scripting (XSS),79
Default IIS 8 Page Identified,Default IIS 8 Page Identified,200
Directory Listing (LigHTTPD),Directory Listing (LigHTTPD),548
Directory Listing (Litespeed),Directory Listing (Litespeed),548
Directory Listing (NginX),Directory Listing (NginX),548
Elmah Error Log Found,Elmah Error Log Found,425
Expression Language Injection,Expression Language Injection,79
